window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Appliances(t+5),1.792,0.241,0.102,0.146,1.0,-0.001,0.004,3703,13.941289186477661,1.9590263366699219
0,Appliances(t+10),2.609,0.85,0.4,0.625,1.0,-0.002,0.005,3715,13.941289186477661,1.9590263366699219
0,Appliances(t+15),1.428,0.2,0.087,0.121,1.0,-0.001,0.003,3701,13.941289186477661,1.9590263366699219
0,Appliances(t+20),1.399,0.437,0.231,0.306,1.0,0.002,0.003,3616,13.941289186477661,1.9590263366699219
0,Appliances(t+25),0.774,0.269,0.136,0.192,1.0,0.001,0.002,3604,13.941289186477661,1.9590263366699219
0,Appliances(t+30),0.611,0.24,0.12,0.178,1.0,-0.0,0.001,3651,13.941289186477661,1.9590263366699219
656,Appliances(t+5),18.135,4.101,1.794,3.26,0.983,-0.027,0.022,3249,13.799132347106934,1.9590263366699219
656,Appliances(t+10),9.075,6.554,2.525,2.953,0.996,-0.021,0.011,3302,13.799132347106934,1.9590263366699219
656,Appliances(t+15),17.921,11.781,3.782,5.174,0.984,-0.038,0.022,3248,13.799132347106934,1.9590263366699219
656,Appliances(t+20),11.689,8.546,3.14,3.477,0.992,-0.029,0.014,3226,13.799132347106934,1.9590263366699219
656,Appliances(t+25),4.453,3.648,1.593,1.502,0.999,-0.014,0.005,3330,13.799132347106934,1.9590263366699219
656,Appliances(t+30),14.194,11.689,3.909,4.422,0.983,-0.045,0.018,3314,13.799132347106934,1.9590263366699219
1312,Appliances(t+5),1.092,0.26,0.135,0.189,1.0,0.001,0.001,2631,13.864171504974365,1.9590263366699219
1312,Appliances(t+10),5.787,0.914,0.366,0.766,0.999,-0.004,0.007,2563,13.864171504974365,1.9590263366699219
1312,Appliances(t+15),1.115,0.309,0.16,0.221,1.0,0.001,0.001,2597,13.864171504974365,1.9590263366699219
1312,Appliances(t+20),1.175,0.29,0.151,0.205,1.0,0.001,0.002,2659,13.864171504974365,1.9590263366699219
1312,Appliances(t+25),4.287,0.697,0.448,0.542,0.999,0.004,0.007,2667,13.864171504974365,1.9590263366699219
1312,Appliances(t+30),0.656,0.219,0.112,0.143,1.0,0.001,0.001,2721,13.864171504974365,1.9590263366699219
1968,Appliances(t+5),0.873,0.52,0.253,0.187,0.998,-0.0,0.009,3204,14.04319453239441,1.9590263366699219
1968,Appliances(t+10),0.672,0.588,0.283,0.168,0.999,-0.0,0.007,3194,14.04319453239441,1.9590263366699219
1968,Appliances(t+15),0.786,0.569,0.276,0.186,0.999,-0.001,0.008,3205,14.04319453239441,1.9590263366699219
1968,Appliances(t+20),0.701,0.497,0.243,0.172,0.999,-0.001,0.007,3224,14.04319453239441,1.9590263366699219
1968,Appliances(t+25),4.901,1.829,0.641,0.644,0.944,-0.012,0.049,3203,14.04319453239441,1.9590263366699219
