window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Appliances(t+5),0.117,0.019,0.01,0.013,1.0,0.0,0.0,3698,14.09835934638977,1.9590263366699219
0,Appliances(t+10),0.568,0.097,0.052,0.049,1.0,0.0,0.001,3714,14.09835934638977,1.9590263366699219
0,Appliances(t+15),0.71,0.151,0.078,0.081,1.0,0.0,0.001,3719,14.09835934638977,1.9590263366699219
0,Appliances(t+20),0.625,0.193,0.099,0.096,1.0,0.0,0.001,3704,14.09835934638977,1.9590263366699219
0,Appliances(t+25),0.597,0.179,0.093,0.091,1.0,0.001,0.001,3691,14.09835934638977,1.9590263366699219
0,Appliances(t+30),4.865,1.958,0.776,0.937,0.998,-0.007,0.01,3650,14.09835934638977,1.9590263366699219
656,Appliances(t+5),22.351,2.908,1.291,3.333,0.973,-0.023,0.028,3315,16.512437343597412,1.9590263366699219
656,Appliances(t+10),3.358,2.138,0.99,0.984,0.999,-0.001,0.004,3363,16.512437343597412,1.9590263366699219
656,Appliances(t+15),6.254,3.877,1.713,1.659,0.998,-0.002,0.008,3351,16.512437343597412,1.9590263366699219
656,Appliances(t+20),3.42,3.378,1.515,1.279,0.999,-0.006,0.004,3352,16.512437343597412,1.9590263366699219
656,Appliances(t+25),3.816,2.37,1.153,1.129,0.999,-0.001,0.005,3375,16.512437343597412,1.9590263366699219
656,Appliances(t+30),11.42,9.841,3.772,3.868,0.989,-0.024,0.014,3451,16.512437343597412,1.9590263366699219
1312,Appliances(t+5),0.256,0.085,0.042,0.042,1.0,-0.0,0.0,3003,13.6993567943573,1.9590263366699219
1312,Appliances(t+10),0.257,0.093,0.047,0.046,1.0,0.0,0.0,2908,13.6993567943573,1.9590263366699219
1312,Appliances(t+15),0.292,0.108,0.055,0.053,1.0,0.0,0.0,2957,13.6993567943573,1.9590263366699219
1312,Appliances(t+20),0.305,0.072,0.036,0.042,1.0,-0.0,0.0,3021,13.6993567943573,1.9590263366699219
1312,Appliances(t+25),0.54,0.159,0.077,0.084,1.0,-0.001,0.001,3030,13.6993567943573,1.9590263366699219
1312,Appliances(t+30),0.202,0.044,0.021,0.025,1.0,-0.0,0.0,3050,13.6993567943573,1.9590263366699219
1968,Appliances(t+5),0.099,0.045,0.022,0.02,1.0,0.0,0.001,3181,13.576719999313354,1.9590263366699219
1968,Appliances(t+10),3.526,1.702,0.707,0.731,0.969,-0.016,0.035,3188,13.576719999313354,1.9590263366699219
1968,Appliances(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,3192,13.576719999313354,1.9590263366699219
1968,Appliances(t+20),0.333,0.146,0.072,0.066,1.0,-0.001,0.003,3199,13.576719999313354,1.9590263366699219
1968,Appliances(t+25),0.226,0.113,0.057,0.049,1.0,0.001,0.002,3148,13.576719999313354,1.9590263366699219
1968,Appliances(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3181,13.576719999313354,1.9590263366699219
2624,Appliances(t+5),38.259,3.227,1.082,4.05,0.777,-0.042,0.067,3561,14.012884140014648,1.9590263366699219
2624,Appliances(t+10),6.082,1.703,0.807,1.348,0.995,-0.005,0.011,3504,14.012884140014648,1.9590263366699219
2624,Appliances(t+15),1.95,0.797,0.377,0.509,0.999,-0.005,0.003,3557,14.012884140014648,1.9590263366699219
2624,Appliances(t+20),1.065,0.186,0.086,0.115,1.0,-0.001,0.002,3557,14.012884140014648,1.9590263366699219
2624,Appliances(t+25),2.654,0.911,0.419,0.581,0.999,-0.005,0.005,3536,14.012884140014648,1.9590263366699219
2624,Appliances(t+30),2.374,0.904,0.419,0.556,0.999,-0.005,0.004,3529,14.012884140014648,1.9590263366699219
3280,Appliances(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3693,13.695420742034912,1.9590263366699219
3280,Appliances(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3735,13.695420742034912,1.9590263366699219
3280,Appliances(t+15),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3674,13.695420742034912,1.9590263366699219
3280,Appliances(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3685,13.695420742034912,1.9590263366699219
3280,Appliances(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3592,13.695420742034912,1.9590263366699219
3280,Appliances(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,3611,13.695420742034912,1.9590263366699219
3936,Appliances(t+5),4.419,1.179,0.472,0.717,0.999,-0.003,0.006,3813,13.788946628570557,1.9590263366699219
3936,Appliances(t+10),5.165,2.02,0.856,1.27,0.998,-0.009,0.007,3836,13.788946628570557,1.9590263366699219
3936,Appliances(t+15),2.33,1.012,0.469,0.615,1.0,-0.003,0.003,3946,13.788946628570557,1.9590263366699219
3936,Appliances(t+20),1.68,0.498,0.241,0.379,1.0,-0.001,0.002,3929,13.788946628570557,1.9590263366699219
3936,Appliances(t+25),3.587,0.969,0.425,0.642,0.999,-0.004,0.005,3905,13.788946628570557,1.9590263366699219
