,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5 (t+5),AQB4,BLSTM,223.01,804282,142.2078399658203,92.99219250679016,38.53795826435089,108.53754425048828,-0.3457014081048244,0.29565039493933537,0.5702090735984007
1,0,PM2.5 (t+10),AQB4,BLSTM,223.01,804282,130.98953247070312,91.95614457130432,37.81944215297699,101.60418701171875,-0.3412488081193592,0.27232751033410213,0.5371770036669063
2,0,PM2.5 (t+15),AQB4,BLSTM,223.01,804282,139.58462524414062,72.93123006820679,37.68256604671478,109.88274383544922,-0.5447489953958966,0.29080130259195963,0.6395855407079724
3,0,PM2.5 (t+20),AQB4,BLSTM,223.01,804282,174.18020629882812,67.11466908454895,39.288440346717834,129.9853057861328,-0.6011327492421887,0.3088301530121066,0.7601428362695801
4,0,PM2.5 (t+25),AQB4,BLSTM,223.01,804282,208.13934326171875,68.46650838851929,40.12690484523773,145.59478759765625,-0.5147245185811546,0.24258664715818037,0.8129803141316927
5,0,PM2.5 (t+30),AQB4,BLSTM,223.01,804282,251.21856689453125,71.77765965461731,43.54783892631531,177.14755249023438,-0.6034403826218344,0.2927955325111087,0.9267765130144534
6,1,PM2.5 (t+5),AQB4,BLSTM,276.4,804282,337.25347900390625,73.87323379516602,54.328107833862305,276.81494140625,-1.813913242603772,0.3718340452082759,1.2046824456356362
7,1,PM2.5 (t+10),AQB4,BLSTM,276.4,804282,340.4439392089844,74.66815710067749,55.19154667854309,282.97296142578125,-1.9589307924249146,0.37535164190626724,1.2163894196372376
8,1,PM2.5 (t+15),AQB4,BLSTM,276.4,804282,348.203857421875,76.3787567615509,57.68280625343323,295.4857482910156,-2.2635563535981005,0.38390722979258546,1.2587170923953133
9,1,PM2.5 (t+20),AQB4,BLSTM,276.4,804282,374.4721374511719,77.80575156211853,58.89517068862915,318.9838562011719,-2.324239493014295,0.4088123771301003,1.2800668995841857
10,1,PM2.5 (t+25),AQB4,BLSTM,276.4,804282,367.021240234375,79.89126443862915,57.1355938911438,303.6686096191406,-1.768871353020021,0.4002412652501363,1.2510784103931427
11,1,PM2.5 (t+30),AQB4,BLSTM,276.4,804282,364.6039733886719,77.49892473220825,55.287790298461914,296.2298583984375,-1.581554281672724,0.3976052054402092,1.238845171821332
