window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+5),1.221,0.382,0.181,0.232,0.998,-0.006,0.011,1540,1.298384666442871,2.003265380859375
0,PM2.5(t+10),0.58,0.198,0.101,0.121,1.0,0.003,0.005,1541,1.298384666442871,2.003265380859375
0,PM2.5(t+15),0.305,0.23,0.116,0.1,1.0,0.002,0.003,1523,1.298384666442871,2.003265380859375
0,PM2.5(t+20),0.86,0.711,0.361,0.39,0.999,0.008,0.008,1541,1.298384666442871,2.003265380859375
0,PM2.5(t+25),0.188,0.18,0.091,0.067,1.0,0.001,0.002,1523,1.298384666442871,2.003265380859375
0,PM2.5(t+30),1.066,1.04,0.528,0.627,0.989,0.013,0.044,1537,1.298384666442871,2.003265380859375
131,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1550,1.3430771827697754,2.003265380859375
131,PM2.5(t+10),1.518,0.174,0.085,0.317,0.999,-0.003,0.008,1538,1.3430771827697754,2.003265380859375
131,PM2.5(t+15),2.532,0.556,0.282,0.832,0.996,0.001,0.016,1541,1.3430771827697754,2.003265380859375
131,PM2.5(t+20),0.649,0.135,0.067,0.18,1.0,-0.001,0.005,1538,1.3430771827697754,2.003265380859375
131,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1550,1.3430771827697754,2.003265380859375
131,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1550,1.3430771827697754,2.003265380859375
262,PM2.5(t+5),0.707,0.267,0.135,0.17,1.0,-0.001,0.004,1542,1.3892340660095215,2.003265380859375
262,PM2.5(t+10),0.425,0.177,0.087,0.089,1.0,-0.001,0.003,1538,1.3892340660095215,2.003265380859375
262,PM2.5(t+15),0.973,0.425,0.221,0.229,0.999,0.003,0.006,1542,1.3892340660095215,2.003265380859375
262,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1532,1.3892340660095215,2.003265380859375
262,PM2.5(t+25),0.437,0.286,0.145,0.155,1.0,0.002,0.003,1530,1.3892340660095215,2.003265380859375
262,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1533,1.3892340660095215,2.003265380859375
393,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1538,1.444042682647705,2.003265380859375
393,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1535,1.444042682647705,2.003265380859375
393,PM2.5(t+15),1.211,0.42,0.218,0.285,0.999,0.004,0.011,1533,1.444042682647705,2.003265380859375
393,PM2.5(t+20),0.04,0.013,0.006,0.011,1.0,-0.0,0.0,1532,1.444042682647705,2.003265380859375
393,PM2.5(t+25),0.34,0.177,0.089,0.12,1.0,0.003,0.003,1541,1.444042682647705,2.003265380859375
393,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1541,1.444042682647705,2.003265380859375
524,PM2.5(t+5),0.309,0.195,0.095,0.058,1.0,-0.001,0.001,1540,1.8702771663665771,2.003265380859375
524,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1544,1.8702771663665771,2.003265380859375
524,PM2.5(t+15),0.089,0.07,0.035,0.021,1.0,-0.0,0.0,1540,1.8702771663665771,2.003265380859375
524,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1530,1.8702771663665771,2.003265380859375
524,PM2.5(t+25),2.184,2.573,1.167,0.772,0.999,-0.012,0.009,1544,1.8702771663665771,2.003265380859375
524,PM2.5(t+30),1.224,2.356,1.221,0.707,0.986,0.047,0.051,1536,1.8702771663665771,2.003265380859375
655,PM2.5(t+5),0.654,0.687,0.38,0.124,1.0,0.002,0.003,1525,1.4659080505371094,2.003265380859375
655,PM2.5(t+10),0.071,0.082,0.041,0.015,1.0,-0.0,0.0,1534,1.4659080505371094,2.003265380859375
655,PM2.5(t+15),0.436,0.571,0.271,0.103,1.0,-0.002,0.002,1528,1.4659080505371094,2.003265380859375
655,PM2.5(t+20),9.844,15.168,3.819,2.73,0.966,-0.046,0.06,1524,1.4659080505371094,2.003265380859375
655,PM2.5(t+25),0.085,0.068,0.034,0.03,1.0,-0.0,0.001,1526,1.4659080505371094,2.003265380859375
655,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1524,1.4659080505371094,2.003265380859375
786,PM2.5(t+5),0.134,0.016,0.008,0.025,1.0,-0.0,0.0,1505,1.7146186828613281,2.003265380859375
786,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1505,1.7146186828613281,2.003265380859375
786,PM2.5(t+15),0.881,0.101,0.051,0.208,1.0,0.001,0.002,1496,1.7146186828613281,2.003265380859375
786,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1511,1.7146186828613281,2.003265380859375
786,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1521,1.7146186828613281,2.003265380859375
786,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1512,1.7146186828613281,2.003265380859375
917,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1530,1.7541089057922363,2.003265380859375
917,PM2.5(t+10),0.302,0.064,0.032,0.063,1.0,-0.0,0.001,1525,1.7541089057922363,2.003265380859375
917,PM2.5(t+15),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1530,1.7541089057922363,2.003265380859375
917,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1531,1.7541089057922363,2.003265380859375
917,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1535,1.7541089057922363,2.003265380859375
917,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1532,1.7541089057922363,2.003265380859375
1048,PM2.5(t+5),1.835,0.889,0.395,0.347,0.998,-0.005,0.011,1540,1.9098145961761475,2.003265380859375
1048,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1534,1.9098145961761475,2.003265380859375
1048,PM2.5(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1543,1.9098145961761475,2.003265380859375
1048,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1539,1.9098145961761475,2.003265380859375
1048,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1531,1.9098145961761475,2.003265380859375
1048,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1538,1.9098145961761475,2.003265380859375
1179,PM2.5(t+5),2.073,1.059,0.461,0.392,0.999,-0.007,0.009,1518,1.5280680656433105,2.003265380859375
1179,PM2.5(t+10),0.233,0.239,0.117,0.053,1.0,-0.001,0.002,1523,1.5280680656433105,2.003265380859375
