window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+5),0.02,0.019,0.009,0.005,1.0,0.0,0.0,1530,0.9982540607452393,2.003265380859375
0,PM2.5(t+10),0.015,0.008,0.004,0.003,1.0,-0.0,0.0,1532,0.9982540607452393,2.003265380859375
0,PM2.5(t+15),1.723,0.849,0.456,0.45,0.997,0.009,0.016,1516,0.9982540607452393,2.003265380859375
0,PM2.5(t+20),0.058,0.085,0.043,0.016,1.0,0.0,0.001,1530,0.9982540607452393,2.003265380859375
0,PM2.5(t+25),0.027,0.024,0.012,0.01,1.0,-0.0,0.0,1514,0.9982540607452393,2.003265380859375
0,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1520,0.9982540607452393,2.003265380859375
131,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1546,0.9989132881164551,2.003265380859375
131,PM2.5(t+10),0.19,0.022,0.011,0.04,1.0,-0.0,0.001,1537,0.9989132881164551,2.003265380859375
131,PM2.5(t+15),0.182,0.024,0.012,0.043,1.0,-0.0,0.001,1539,0.9989132881164551,2.003265380859375
131,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1534,0.9989132881164551,2.003265380859375
131,PM2.5(t+25),0.057,0.017,0.008,0.02,1.0,-0.0,0.001,1543,0.9989132881164551,2.003265380859375
131,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1550,0.9989132881164551,2.003265380859375
262,PM2.5(t+5),0.405,0.153,0.078,0.077,1.0,0.001,0.003,1538,0.9808657169342041,2.003265380859375
262,PM2.5(t+10),0.729,0.552,0.271,0.226,1.0,-0.003,0.005,1536,0.9808657169342041,2.003265380859375
262,PM2.5(t+15),1.279,0.503,0.25,0.436,0.999,0.002,0.008,1534,0.9808657169342041,2.003265380859375
262,PM2.5(t+20),0.263,0.146,0.072,0.073,1.0,-0.001,0.002,1518,0.9808657169342041,2.003265380859375
262,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1524,0.9808657169342041,2.003265380859375
262,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1525,0.9808657169342041,2.003265380859375
393,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1550,1.105330228805542,2.003265380859375
393,PM2.5(t+10),0.471,0.364,0.175,0.098,1.0,-0.002,0.004,1544,1.105330228805542,2.003265380859375
393,PM2.5(t+15),0.001,0.001,0.001,0.0,1.0,0.0,0.0,1541,1.105330228805542,2.003265380859375
393,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1541,1.105330228805542,2.003265380859375
393,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1546,1.105330228805542,2.003265380859375
393,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1549,1.105330228805542,2.003265380859375
524,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1528,1.130354642868042,2.003265380859375
524,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1536,1.130354642868042,2.003265380859375
524,PM2.5(t+15),3.995,4.708,1.653,0.942,0.995,-0.021,0.016,1534,1.130354642868042,2.003265380859375
524,PM2.5(t+20),0.039,0.12,0.06,0.015,1.0,-0.0,0.0,1525,1.130354642868042,2.003265380859375
524,PM2.5(t+25),2.643,4.941,2.118,1.128,0.999,-0.018,0.01,1535,1.130354642868042,2.003265380859375
524,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1534,1.130354642868042,2.003265380859375
655,PM2.5(t+5),0.199,0.112,0.057,0.044,1.0,0.001,0.001,1518,1.2371580600738525,2.003265380859375
655,PM2.5(t+10),0.092,0.08,0.04,0.027,1.0,0.0,0.0,1533,1.2371580600738525,2.003265380859375
655,PM2.5(t+15),0.047,0.041,0.02,0.011,1.0,-0.0,0.0,1528,1.2371580600738525,2.003265380859375
655,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1517,1.2371580600738525,2.003265380859375
655,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1527,1.2371580600738525,2.003265380859375
655,PM2.5(t+30),0.744,0.976,0.495,0.429,0.998,0.019,0.023,1522,1.2371580600738525,2.003265380859375
786,PM2.5(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1521,1.351525068283081,2.003265380859375
786,PM2.5(t+10),2.747,0.516,0.244,0.573,1.0,-0.003,0.006,1508,1.351525068283081,2.003265380859375
786,PM2.5(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1510,1.351525068283081,2.003265380859375
786,PM2.5(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1537,1.351525068283081,2.003265380859375
786,PM2.5(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1526,1.351525068283081,2.003265380859375
786,PM2.5(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1539,1.351525068283081,2.003265380859375
