,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5(t) (t+5),AQB,CNN_LSTM,146.96,146340,101.3194808959961,310.6203079223633,28.238537907600403,35.12904739379883,-8.883829735030467,0.12483936510109056,-0.4567835012603393
1,0,PM2.5(t) (t+10),AQB,CNN_LSTM,146.96,146340,100.7398910522461,252.82671451568604,35.44996976852417,41.66442108154297,-9.255107620550094,0.12604428046224825,-0.5418743607287667
2,0,PM2.5(t) (t+15),AQB,CNN_LSTM,146.96,146340,100.83126068115234,310.5633735656738,40.105628967285156,46.78736877441406,-10.093769858988734,0.12970416452262126,-0.6576862205444369
3,0,PM2.5(t) (t+20),AQB,CNN_LSTM,146.96,146340,99.53465270996094,374.0539073944092,42.16572642326355,50.3758430480957,-9.96484879584013,0.13625563886404823,-0.7273002903557442
4,0,PM2.5(t) (t+25),AQB,CNN_LSTM,146.96,146340,84.19832611083984,366.8574571609497,43.76875162124634,52.15766143798828,-6.982705756616726,0.14574359317041527,-0.7479204556496374
5,0,PM2.5(t) (t+30),AQB,CNN_LSTM,146.96,146340,65.3866958618164,385.7368230819702,43.849724531173706,50.352622985839844,-3.906413469488573,0.19775604671624955,-0.7378115557442936
6,1,PM2.5(t) (t+5),AQB,CNN_LSTM,147.46,146340,44.99064254760742,88.59731554985046,21.131999790668488,34.205257415771484,0.3668954202033524,0.26701093959019234,0.16083194896034056
7,1,PM2.5(t) (t+10),AQB,CNN_LSTM,147.46,146340,68.56806945800781,108.90817642211914,33.35331380367279,52.64042663574219,-0.4315682595360071,0.4813891786346826,0.4131001597097444
8,1,PM2.5(t) (t+15),AQB,CNN_LSTM,147.46,146340,76.27946472167969,117.15282201766968,38.27611207962036,58.759803771972656,-0.7218585505171475,0.5795112239595016,0.46235681160607195
9,1,PM2.5(t) (t+20),AQB,CNN_LSTM,147.46,146340,80.01931762695312,115.26578664779663,40.76836407184601,62.66971969604492,-0.8556418116924855,0.7852726837384348,0.5669187151862173
10,1,PM2.5(t) (t+25),AQB,CNN_LSTM,147.46,146340,75.79454803466797,127.41208076477051,39.90260660648346,61.27058792114258,-0.6213987831705738,1.027157175821624,0.5119066852095117
11,1,PM2.5(t) (t+30),AQB,CNN_LSTM,147.46,146340,71.99596405029297,132.26444721221924,38.1763756275177,58.850406646728516,-0.4351028046974126,1.1118934174021629,0.4709142083440792
12,2,PM2.5(t) (t+5),AQB,CNN_LSTM,104.6,146340,38.149871826171875,64.82179164886475,24.055039882659912,29.358694076538086,-0.10759387628617856,0.32602182798022267,0.0719571710776697
13,2,PM2.5(t) (t+10),AQB,CNN_LSTM,104.6,146340,47.50645446777344,82.07544088363647,30.92944025993347,37.39751434326172,-0.6131086313813683,0.47582671981678415,0.12737232227310083
14,2,PM2.5(t) (t+15),AQB,CNN_LSTM,104.6,146340,46.05707931518555,85.23569107055664,29.80145514011383,36.01631164550781,-0.4966915542263699,0.42209409181605184,0.10593155989529965
15,2,PM2.5(t) (t+20),AQB,CNN_LSTM,104.6,146340,45.620567321777344,85.40850877761841,30.06446063518524,35.86264419555664,-0.4650838121258609,0.41761928514468316,0.04462381992036708
16,2,PM2.5(t) (t+25),AQB,CNN_LSTM,104.6,146340,46.24760437011719,89.80925679206848,30.82447052001953,36.950008392333984,-0.4848608353981245,0.396175937663473,-0.009689895616161046
