window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+5),8.501,20.821,7.531,3.899,0.923,-0.057,0.056,2819,6.882611513137817,1.9657821655273438
0,PM2.5(t+10),5.607,20.839,7.524,3.23,0.967,-0.017,0.037,3042,6.882611513137817,1.9657821655273438
0,PM2.5(t+15),5.647,21.012,8.06,3.122,0.965,-0.03,0.037,3183,6.882611513137817,1.9657821655273438
0,PM2.5(t+20),5.548,17.698,6.535,2.803,0.963,-0.02,0.037,3171,6.882611513137817,1.9657821655273438
0,PM2.5(t+25),5.03,15.902,5.638,2.561,0.969,-0.037,0.033,3216,6.882611513137817,1.9657821655273438
0,PM2.5(t+30),6.643,19.282,6.54,3.138,0.948,-0.048,0.044,3215,6.882611513137817,1.9657821655273438
1061,PM2.5(t+5),12.56,4.35,2.117,3.965,0.949,0.006,0.051,2119,7.117213487625122,1.9657821655273438
1061,PM2.5(t+10),10.066,5.476,2.653,4.777,0.966,0.003,0.041,2242,7.117213487625122,1.9657821655273438
1061,PM2.5(t+15),19.301,6.681,3.008,6.526,0.871,-0.021,0.078,2324,7.117213487625122,1.9657821655273438
1061,PM2.5(t+20),8.268,5.756,2.709,4.898,0.976,-0.006,0.033,2310,7.117213487625122,1.9657821655273438
1061,PM2.5(t+25),11.464,5.395,2.556,4.668,0.953,0.014,0.046,2289,7.117213487625122,1.9657821655273438
1061,PM2.5(t+30),17.015,6.397,3.11,6.786,0.897,0.014,0.069,2327,7.117213487625122,1.9657821655273438
2122,PM2.5(t+5),9.177,11.399,5.494,5.377,0.94,0.015,0.05,2271,6.97829270362854,1.9657821655273438
2122,PM2.5(t+10),7.153,11.727,5.154,4.646,0.964,-0.016,0.039,2407,6.97829270362854,1.9657821655273438
2122,PM2.5(t+15),7.336,12.193,5.416,4.714,0.962,-0.021,0.04,2506,6.97829270362854,1.9657821655273438
2122,PM2.5(t+20),8.328,12.247,5.373,4.714,0.952,-0.022,0.046,2556,6.97829270362854,1.9657821655273438
2122,PM2.5(t+25),8.39,12.205,5.301,4.784,0.952,-0.006,0.046,2562,6.97829270362854,1.9657821655273438
2122,PM2.5(t+30),6.031,9.983,4.585,4.088,0.975,-0.011,0.033,2545,6.97829270362854,1.9657821655273438
3183,PM2.5(t+5),3.042,4.855,2.248,1.591,0.994,-0.003,0.021,3237,7.144027233123779,1.9657821655273438
3183,PM2.5(t+10),4.34,5.853,2.768,2.468,0.988,-0.016,0.03,3484,7.144027233123779,1.9657821655273438
3183,PM2.5(t+15),5.266,6.498,3.04,2.656,0.983,0.003,0.037,3508,7.144027233123779,1.9657821655273438
3183,PM2.5(t+20),5.874,9.176,3.683,2.795,0.979,-0.025,0.041,3488,7.144027233123779,1.9657821655273438
3183,PM2.5(t+25),4.887,7.434,3.316,2.51,0.986,-0.013,0.034,3503,7.144027233123779,1.9657821655273438
3183,PM2.5(t+30),5.89,7.909,3.615,3.139,0.979,-0.005,0.041,3520,7.144027233123779,1.9657821655273438
4244,PM2.5(t+5),8.502,21.175,8.484,3.573,0.981,-0.015,0.027,3285,6.698148012161255,1.9657821655273438
4244,PM2.5(t+10),4.93,20.313,7.783,2.789,0.993,-0.037,0.016,3477,6.698148012161255,1.9657821655273438
4244,PM2.5(t+15),4.878,24.005,8.897,2.864,0.993,-0.028,0.015,3485,6.698148012161255,1.9657821655273438
4244,PM2.5(t+20),5.305,21.218,8.458,2.995,0.992,-0.038,0.017,3597,6.698148012161255,1.9657821655273438
4244,PM2.5(t+25),4.593,14.268,6.088,2.523,0.993,-0.017,0.014,3647,6.698148012161255,1.9657821655273438
4244,PM2.5(t+30),4.304,17.862,6.908,2.423,0.991,-0.038,0.017,3752,6.698148012161255,1.9657821655273438
5305,PM2.5(t+5),7.11,6.174,2.979,15.142,0.573,0.118,0.013,2818,6.754122734069824,1.9657821655273438
5305,PM2.5(t+10),7.343,7.345,3.558,15.521,0.573,0.117,0.014,3035,6.754122734069824,1.9657821655273438
5305,PM2.5(t+15),5.661,8.739,4.033,15.296,0.573,0.126,0.011,3168,6.754122734069824,1.9657821655273438
5305,PM2.5(t+20),7.11,9.919,4.426,16.376,0.57,0.123,0.013,3057,6.754122734069824,1.9657821655273438
5305,PM2.5(t+25),5.688,6.718,3.206,15.6,0.57,0.134,0.011,2996,6.754122734069824,1.9657821655273438
5305,PM2.5(t+30),7.928,7.731,3.731,16.756,0.567,0.131,0.015,3254,6.754122734069824,1.9657821655273438
6366,PM2.5(t+5),7.67,5.113,2.116,2.412,0.996,-0.005,0.015,2713,7.1171581745147705,1.9657821655273438
6366,PM2.5(t+10),5.282,3.684,1.614,2.027,0.998,0.002,0.01,2855,7.1171581745147705,1.9657821655273438
6366,PM2.5(t+15),7.3,14.133,2.979,2.527,0.997,-0.007,0.014,2890,7.1171581745147705,1.9657821655273438
6366,PM2.5(t+20),7.568,10.312,3.529,3.164,0.996,0.001,0.015,2923,7.1171581745147705,1.9657821655273438
6366,PM2.5(t+25),4.667,7.745,2.793,2.192,0.999,0.001,0.009,3014,7.1171581745147705,1.9657821655273438
6366,PM2.5(t+30),5.783,8.605,3.337,2.92,0.998,0.003,0.011,3053,7.1171581745147705,1.9657821655273438
7427,PM2.5(t+5),6.023,3.673,1.899,3.153,0.989,0.008,0.022,2939,7.692202091217041,1.9657821655273438
7427,PM2.5(t+10),5.562,3.611,1.841,3.139,0.991,-0.001,0.02,3185,7.692202091217041,1.9657821655273438
7427,PM2.5(t+15),7.72,5.687,2.798,4.522,0.982,0.002,0.028,3297,7.692202091217041,1.9657821655273438
7427,PM2.5(t+20),8.052,4.973,2.438,4.288,0.981,-0.011,0.029,3286,7.692202091217041,1.9657821655273438
7427,PM2.5(t+25),8.545,5.004,2.435,4.787,0.979,-0.01,0.031,3311,7.692202091217041,1.9657821655273438
7427,PM2.5(t+30),7.051,5.271,2.864,4.041,0.985,0.016,0.026,3408,7.692202091217041,1.9657821655273438
8488,PM2.5(t+5),14.205,10.538,4.41,4.797,0.827,-0.017,0.097,3376,7.20290470123291,1.9657821655273438
8488,PM2.5(t+10),5.057,7.716,3.449,2.778,0.978,-0.011,0.034,3486,7.20290470123291,1.9657821655273438
8488,PM2.5(t+15),19.251,14.794,5.291,6.298,0.685,-0.052,0.131,3521,7.20290470123291,1.9657821655273438
8488,PM2.5(t+20),5.897,9.613,4.13,3.486,0.97,-0.022,0.04,3577,7.20290470123291,1.9657821655273438
8488,PM2.5(t+25),6.526,9.677,4.233,4.112,0.962,0.005,0.044,3533,7.20290470123291,1.9657821655273438
8488,PM2.5(t+30),7.006,8.327,4.045,4.142,0.955,-0.009,0.048,3517,7.20290470123291,1.9657821655273438
9549,PM2.5(t+5),34.095,33.355,6.066,7.261,0.522,-0.062,0.159,2712,7.365002632141113,1.9657821655273438
9549,PM2.5(t+10),5.749,9.293,4.162,3.195,0.987,-0.004,0.027,2833,7.365002632141113,1.9657821655273438
9549,PM2.5(t+15),5.904,13.495,5.383,3.466,0.986,-0.019,0.028,2939,7.365002632141113,1.9657821655273438
9549,PM2.5(t+20),15.648,25.549,5.621,5.14,0.904,-0.043,0.073,3091,7.365002632141113,1.9657821655273438
9549,PM2.5(t+25),6.702,9.601,4.306,3.65,0.982,-0.015,0.031,3086,7.365002632141113,1.9657821655273438
9549,PM2.5(t+30),12.434,23.783,6.825,5.471,0.939,-0.041,0.058,3094,7.365002632141113,1.9657821655273438
10610,PM2.5(t+5),4.788,5.7,2.745,2.512,0.989,-0.009,0.029,3429,7.2472617626190186,1.9657821655273438
10610,PM2.5(t+10),4.866,6.116,2.966,2.654,0.988,-0.003,0.029,3657,7.2472617626190186,1.9657821655273438
10610,PM2.5(t+15),4.559,5.154,2.631,2.546,0.99,-0.001,0.027,3683,7.2472617626190186,1.9657821655273438
10610,PM2.5(t+20),3.771,5.117,2.448,2.184,0.993,-0.002,0.023,3708,7.2472617626190186,1.9657821655273438
10610,PM2.5(t+25),4.968,6.461,3.213,3.205,0.988,0.009,0.03,3757,7.2472617626190186,1.9657821655273438
10610,PM2.5(t+30),4.309,5.79,2.798,2.783,0.991,-0.007,0.026,3756,7.2472617626190186,1.9657821655273438
11671,PM2.5(t+5),7.237,6.03,2.881,4.379,0.994,0.003,0.02,2315,6.593095779418945,1.9657821655273438
11671,PM2.5(t+10),5.75,5.835,2.917,3.446,0.996,0.004,0.016,2452,6.593095779418945,1.9657821655273438
11671,PM2.5(t+15),7.994,6.234,2.882,4.202,0.993,0.007,0.022,2583,6.593095779418945,1.9657821655273438
11671,PM2.5(t+20),9.249,6.374,3.115,4.245,0.99,0.01,0.026,2590,6.593095779418945,1.9657821655273438
11671,PM2.5(t+25),5.811,5.094,2.387,3.374,0.996,0.01,0.016,2507,6.593095779418945,1.9657821655273438
11671,PM2.5(t+30),20.123,6.79,2.989,6.111,0.953,-0.025,0.056,2590,6.593095779418945,1.9657821655273438
12732,PM2.5(t+5),4.784,20.272,7.305,2.849,0.996,-0.008,0.015,2239,6.6101038455963135,1.9657821655273438
12732,PM2.5(t+10),4.779,13.797,5.678,2.488,0.996,-0.001,0.015,2480,6.6101038455963135,1.9657821655273438
12732,PM2.5(t+15),4.542,16.592,6.354,2.475,0.997,-0.011,0.014,2454,6.6101038455963135,1.9657821655273438
12732,PM2.5(t+20),4.229,15.616,5.891,2.113,0.997,-0.007,0.013,2453,6.6101038455963135,1.9657821655273438
12732,PM2.5(t+25),4.307,18.954,6.809,2.321,0.997,-0.008,0.014,2515,6.6101038455963135,1.9657821655273438
12732,PM2.5(t+30),6.429,21.425,7.615,3.305,0.994,-0.024,0.02,2590,6.6101038455963135,1.9657821655273438
