window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+5),8.239,25.367,9.22,4.453,0.928,-0.064,0.055,2787,5.456144571304321,1.9657821655273438
0,PM2.5(t+10),5.189,23.445,8.169,3.259,0.971,-0.025,0.034,3017,5.456144571304321,1.9657821655273438
0,PM2.5(t+15),6.893,23.12,9.223,3.807,0.948,-0.023,0.046,3134,5.456144571304321,1.9657821655273438
0,PM2.5(t+20),5.324,21.114,7.546,3.017,0.966,-0.032,0.035,3143,5.456144571304321,1.9657821655273438
0,PM2.5(t+25),6.635,16.059,6.099,3.294,0.947,-0.036,0.044,3172,5.456144571304321,1.9657821655273438
0,PM2.5(t+30),9.197,23.802,7.235,3.737,0.899,-0.04,0.061,3162,5.456144571304321,1.9657821655273438
1061,PM2.5(t+5),12.392,4.437,2.124,4.109,0.95,-0.002,0.05,2084,6.02726936340332,1.9657821655273438
1061,PM2.5(t+10),8.021,5.186,2.364,4.039,0.978,0.006,0.032,2171,6.02726936340332,1.9657821655273438
1061,PM2.5(t+15),9.228,5.132,2.475,4.795,0.971,-0.001,0.037,2259,6.02726936340332,1.9657821655273438
1061,PM2.5(t+20),10.706,6.4,2.975,5.901,0.96,-0.01,0.043,2261,6.02726936340332,1.9657821655273438
1061,PM2.5(t+25),14.315,4.419,2.373,4.927,0.927,0.018,0.058,2232,6.02726936340332,1.9657821655273438
1061,PM2.5(t+30),16.204,6.93,3.441,7.611,0.907,0.026,0.066,2251,6.02726936340332,1.9657821655273438
2122,PM2.5(t+5),8.003,10.558,5.062,5.059,0.954,0.008,0.044,2130,6.935746908187866,1.9657821655273438
2122,PM2.5(t+10),7.735,11.242,5.199,4.864,0.957,-0.011,0.042,2291,6.935746908187866,1.9657821655273438
2122,PM2.5(t+15),8.261,13.426,5.779,5.267,0.952,-0.03,0.045,2385,6.935746908187866,1.9657821655273438
2122,PM2.5(t+20),9.671,10.636,4.638,4.226,0.936,-0.022,0.053,2430,6.935746908187866,1.9657821655273438
2122,PM2.5(t+25),6.498,10.187,4.475,4.013,0.971,-0.014,0.036,2428,6.935746908187866,1.9657821655273438
2122,PM2.5(t+30),8.755,10.207,4.499,4.395,0.947,-0.023,0.048,2408,6.935746908187866,1.9657821655273438
3183,PM2.5(t+5),6.036,7.799,3.867,3.259,0.978,0.002,0.042,3143,5.773067235946655,1.9657821655273438
3183,PM2.5(t+10),6.315,7.785,3.81,3.468,0.975,-0.001,0.044,3349,5.773067235946655,1.9657821655273438
3183,PM2.5(t+15),4.919,7.209,3.331,2.782,0.985,-0.005,0.034,3382,5.773067235946655,1.9657821655273438
3183,PM2.5(t+20),5.605,7.535,3.632,3.058,0.981,0.003,0.039,3393,5.773067235946655,1.9657821655273438
3183,PM2.5(t+25),4.246,7.012,3.285,2.682,0.989,-0.002,0.03,3360,5.773067235946655,1.9657821655273438
3183,PM2.5(t+30),4.913,6.327,3.092,2.949,0.986,0.002,0.034,3439,5.773067235946655,1.9657821655273438
4244,PM2.5(t+5),6.077,25.216,9.841,3.567,0.99,-0.031,0.019,3093,5.444177865982056,1.9657821655273438
4244,PM2.5(t+10),6.091,27.181,9.751,3.63,0.99,-0.047,0.019,3339,5.444177865982056,1.9657821655273438
4244,PM2.5(t+15),10.052,28.7,10.417,4.054,0.972,-0.02,0.032,3374,5.444177865982056,1.9657821655273438
4244,PM2.5(t+20),4.093,22.65,8.48,2.648,0.995,-0.039,0.013,3448,5.444177865982056,1.9657821655273438
4244,PM2.5(t+25),3.614,17.117,6.792,2.122,0.996,-0.028,0.011,3472,5.444177865982056,1.9657821655273438
4244,PM2.5(t+30),5.249,23.338,8.556,2.949,0.986,-0.051,0.02,3607,5.444177865982056,1.9657821655273438
5305,PM2.5(t+5),7.776,10.736,4.523,15.737,0.572,0.112,0.015,2799,5.564775228500366,1.9657821655273438
5305,PM2.5(t+10),6.651,8.38,3.952,15.381,0.573,0.122,0.013,3016,5.564775228500366,1.9657821655273438
5305,PM2.5(t+15),7.95,7.763,3.734,15.568,0.571,0.119,0.015,3117,5.564775228500366,1.9657821655273438
5305,PM2.5(t+20),9.068,9.954,5.306,16.786,0.563,0.153,0.017,3021,5.564775228500366,1.9657821655273438
5305,PM2.5(t+25),6.291,11.144,5.191,16.256,0.57,0.131,0.012,2981,5.564775228500366,1.9657821655273438
5305,PM2.5(t+30),7.113,8.144,3.995,16.526,0.568,0.135,0.013,3208,5.564775228500366,1.9657821655273438
6366,PM2.5(t+5),9.159,6.816,2.345,3.073,0.995,-0.006,0.018,2589,6.295060634613037,1.9657821655273438
6366,PM2.5(t+10),5.548,2.815,1.353,2.201,0.998,0.006,0.011,2741,6.295060634613037,1.9657821655273438
6366,PM2.5(t+15),7.506,11.888,2.902,2.946,0.996,-0.004,0.015,2790,6.295060634613037,1.9657821655273438
6366,PM2.5(t+20),10.251,13.68,3.667,3.937,0.993,0.002,0.02,2772,6.295060634613037,1.9657821655273438
6366,PM2.5(t+25),5.366,6.853,2.602,2.311,0.998,0.005,0.01,2903,6.295060634613037,1.9657821655273438
6366,PM2.5(t+30),6.529,15.781,4.269,3.012,0.997,0.002,0.013,2962,6.295060634613037,1.9657821655273438
7427,PM2.5(t+5),5.915,3.593,1.873,3.118,0.989,0.007,0.022,2832,6.213010787963867,1.9657821655273438
7427,PM2.5(t+10),5.295,3.395,1.739,3.024,0.992,0.003,0.019,3036,6.213010787963867,1.9657821655273438
7427,PM2.5(t+15),8.335,5.471,2.816,4.809,0.979,0.005,0.03,3160,6.213010787963867,1.9657821655273438
7427,PM2.5(t+20),8.982,5.82,2.785,4.998,0.976,-0.012,0.033,3226,6.213010787963867,1.9657821655273438
7427,PM2.5(t+25),6.86,4.949,2.425,4.351,0.986,-0.009,0.025,3175,6.213010787963867,1.9657821655273438
7427,PM2.5(t+30),6.752,5.152,2.752,4.155,0.987,0.015,0.025,3327,6.213010787963867,1.9657821655273438
8488,PM2.5(t+5),12.779,9.966,4.145,4.385,0.86,-0.03,0.087,3278,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+10),6.78,8.474,3.818,3.479,0.961,-0.007,0.046,3407,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+15),10.345,11.448,4.77,4.756,0.909,-0.024,0.07,3474,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+20),6.319,10.277,4.529,3.753,0.965,-0.03,0.043,3490,5.6847124099731445,1.9657821655273438
