,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5(t) (t+5),AQB,TCN,28.29,63558,35.48043441772461,154.94580268859863,32.569462060928345,26.558738708496094,-0.212040746986504,0.13445218980676782,-0.30424881743172544
1,0,PM2.5(t) (t+10),AQB,TCN,28.29,63558,43.126304626464844,278.651762008667,39.75534737110138,34.21681213378906,-0.8794109940279498,0.22218100808563973,-0.48288863096136475
2,0,PM2.5(t) (t+15),AQB,TCN,28.29,63558,50.381710052490234,379.83076572418213,43.60409677028656,41.649959564208984,-1.7697114201120008,0.30092504069367915,-0.6029620784031954
3,0,PM2.5(t) (t+20),AQB,TCN,28.29,63558,55.08498764038086,453.049898147583,44.093769788742065,46.006473541259766,-2.3583084588637004,0.46812744406002765,-0.6964483736961142
4,0,PM2.5(t) (t+25),AQB,TCN,28.29,63558,60.341854095458984,474.91655349731445,46.10007405281067,51.99729919433594,-3.0999687166409338,0.5525801317353831,-0.7601777120565862
5,0,PM2.5(t) (t+30),AQB,TCN,28.29,63558,63.45696258544922,462.72945404052734,46.56273126602173,55.335140228271484,-3.6210841358318238,0.7871176237452858,-0.7871915223111134
6,1,PM2.5(t) (t+5),AQB,TCN,33.7,63558,47.010562896728516,93.16968321800232,21.71129137277603,36.13755798339844,0.30877107012044225,0.5085918270135137,0.1734879139986674
7,1,PM2.5(t) (t+10),AQB,TCN,33.7,63558,55.832523345947266,124.48596954345703,26.426371932029724,43.9554328918457,0.050833031767085535,0.7307389059067678,0.19462255650693966
8,1,PM2.5(t) (t+15),AQB,TCN,33.7,63558,61.423465728759766,141.26322269439697,29.59267497062683,48.676414489746094,-0.1164796175573668,0.7737397279468848,0.218872477134145
9,1,PM2.5(t) (t+20),AQB,TCN,33.7,63558,63.76027297973633,141.86666011810303,30.946195125579834,50.522911071777344,-0.17816136933598758,0.8302855931923863,0.24216459756510095
10,1,PM2.5(t) (t+25),AQB,TCN,33.7,63558,64.01187133789062,146.80193662643433,32.13571906089783,51.758243560791016,-0.1564716846621843,1.1097693173299525,0.2647472649155224
11,1,PM2.5(t) (t+30),AQB,TCN,33.7,63558,65.01720428466797,151.47684812545776,33.621370792388916,53.53074645996094,-0.170370244005716,1.116424276164232,0.2798551342349477
12,2,PM2.5(t) (t+5),AQB,TCN,25.85,63558,41.68749237060547,84.03587341308594,24.12046045064926,32.15337371826172,-0.32253122813587987,0.2678180258274766,-0.22105916070565879
13,2,PM2.5(t) (t+10),AQB,TCN,25.85,63558,45.48831558227539,101.2924313545227,27.24018096923828,36.37654495239258,-0.4789659402834854,0.4049663946692796,-0.248232679410588
14,2,PM2.5(t) (t+15),AQB,TCN,25.85,63558,44.6652717590332,107.79494047164917,27.38061547279358,35.99079895019531,-0.40760087820488833,0.4162191086501325,-0.2711088737478544
15,2,PM2.5(t) (t+20),AQB,TCN,25.85,63558,45.606056213378906,110.8603835105896,28.304937481880188,37.178279876708984,-0.46415176068552655,0.4133365279100208,-0.2910414567267008
16,2,PM2.5(t) (t+25),AQB,TCN,25.85,63558,45.88768005371094,115.09666442871094,29.805347323417664,38.8438835144043,-0.4618387983450172,0.43461785453812074,-0.31791132871875616
17,2,PM2.5(t) (t+30),AQB,TCN,25.85,63558,45.625282287597656,120.88050842285156,30.071690678596497,38.75461196899414,-0.4364241902176529,0.4786757766818936,-0.3264451252479457
18,3,PM2.5(t) (t+5),AQB,TCN,21.2,63558,39.36520767211914,92.83212423324585,27.23546028137207,29.838836669921875,0.27298178193654177,0.5349769872893526,0.2666924211038545
19,3,PM2.5(t) (t+10),AQB,TCN,21.2,63558,46.627593994140625,130.72527647018433,33.51016342639923,36.156097412109375,0.0019648986023396153,0.744231708999636,0.311699490115698
20,3,PM2.5(t) (t+15),AQB,TCN,21.2,63558,47.4284782409668,145.0805902481079,33.86356234550476,36.80192565917969,-0.014961464844380323,0.8739996667957775,0.2897463006873675
21,3,PM2.5(t) (t+20),AQB,TCN,21.2,63558,47.096038818359375,171.14673852920532,35.14944612979889,37.63288497924805,0.011760825588903456,0.9704404967772363,0.21287524652238107
22,3,PM2.5(t) (t+25),AQB,TCN,21.2,63558,47.39232635498047,175.5529284477234,37.67009377479553,39.0595703125,-0.006644752430501777,0.959939070100446,0.18857723003307483
23,3,PM2.5(t) (t+30),AQB,TCN,21.2,63558,48.301246643066406,168.86781454086304,38.24508488178253,38.66265106201172,-0.11704052177600155,0.6715282113423243,0.18885437488602325
24,4,PM2.5(t) (t+5),AQB,TCN,36.31,63558,87.47171783447266,485.2813720703125,49.02410805225372,65.56903839111328,-0.42012300966159555,0.43888819516321187,-0.5348101561993002
25,4,PM2.5(t) (t+10),AQB,TCN,36.31,63558,95.93431091308594,615.302848815918,53.257423639297485,75.85847473144531,-1.068398109785977,0.4378123002316095,-0.6422777611523481
26,4,PM2.5(t) (t+15),AQB,TCN,36.31,63558,97.91454315185547,697.5371837615967,53.56743335723877,77.80060577392578,-1.094193657945692,0.46036243279579536,-0.6297518162352453
27,4,PM2.5(t) (t+20),AQB,TCN,36.31,63558,92.3460693359375,670.2889919281006,53.41860055923462,75.77874755859375,-0.6983598825041166,0.5257417468339916,-0.5334163075827156
