window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,CO(GT)(t+5),1.438,11.814,4.719,0.276,0.999,-0.041,0.007,3210,2.628547430038452,1.9590263366699219
0,CO(GT)(t+10),0.268,3.643,3.012,0.067,1.0,-0.006,0.001,3203,2.628547430038452,1.9590263366699219
0,CO(GT)(t+15),1.149,11.068,5.238,0.206,0.999,-0.025,0.006,3190,2.628547430038452,1.9590263366699219
0,CO(GT)(t+20),2.377,13.612,6.493,0.419,0.996,-0.081,0.012,3193,2.628547430038452,1.9590263366699219
0,CO(GT)(t+25),0.238,3.976,3.113,0.061,1.0,-0.004,0.001,3215,2.628547430038452,1.9590263366699219
0,CO(GT)(t+30),15.753,140.014,4.549,2.369,0.848,-0.317,0.077,3198,2.628547430038452,1.9590263366699219
310,CO(GT)(t+5),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1196,2.6631968021392822,1.9590263366699219
310,CO(GT)(t+10),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1210,2.6631968021392822,1.9590263366699219
310,CO(GT)(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1185,2.6631968021392822,1.9590263366699219
310,CO(GT)(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1190,2.6631968021392822,1.9590263366699219
310,CO(GT)(t+25),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1137,2.6631968021392822,1.9590263366699219
310,CO(GT)(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1196,2.6631968021392822,1.9590263366699219
620,CO(GT)(t+5),0.043,0.069,0.036,0.005,1.0,-0.0,0.0,1285,2.655150890350342,1.9590263366699219
620,CO(GT)(t+10),0.045,0.075,0.038,0.005,1.0,-0.0,0.0,1353,2.655150890350342,1.9590263366699219
620,CO(GT)(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1388,2.655150890350342,1.9590263366699219
620,CO(GT)(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1351,2.655150890350342,1.9590263366699219
620,CO(GT)(t+25),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1369,2.655150890350342,1.9590263366699219
620,CO(GT)(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1396,2.655150890350342,1.9590263366699219
930,CO(GT)(t+5),0.207,4.109,1.691,0.07,1.0,0.0,0.001,2924,2.734049081802368,1.9590263366699219
930,CO(GT)(t+10),0.534,9.418,2.911,0.125,1.0,-0.011,0.003,2944,2.734049081802368,1.9590263366699219
930,CO(GT)(t+15),0.211,4.304,1.817,0.076,1.0,-0.0,0.001,2974,2.734049081802368,1.9590263366699219
930,CO(GT)(t+20),0.213,3.878,1.705,0.077,1.0,-0.001,0.001,2982,2.734049081802368,1.9590263366699219
930,CO(GT)(t+25),0.223,4.103,1.72,0.08,1.0,-0.003,0.001,2998,2.734049081802368,1.9590263366699219
930,CO(GT)(t+30),0.21,5.34,2.064,0.071,1.0,0.002,0.001,3047,2.734049081802368,1.9590263366699219
1240,CO(GT)(t+5),6.525,39.677,3.257,1.051,0.974,-0.169,0.032,2838,2.638127088546753,1.9590263366699219
1240,CO(GT)(t+10),9.22,51.498,5.09,1.693,0.951,-0.229,0.045,2917,2.638127088546753,1.9590263366699219
1240,CO(GT)(t+15),4.588,33.863,4.169,0.867,0.989,-0.113,0.022,2967,2.638127088546753,1.9590263366699219
1240,CO(GT)(t+20),2.75,25.478,6.017,0.626,0.996,-0.065,0.013,3050,2.638127088546753,1.9590263366699219
1240,CO(GT)(t+25),0.333,2.975,2.195,0.081,1.0,-0.002,0.002,3030,2.638127088546753,1.9590263366699219
1240,CO(GT)(t+30),2.541,13.293,4.411,0.483,0.996,-0.062,0.012,3123,2.638127088546753,1.9590263366699219
1550,CO(GT)(t+5),0.477,28.711,1.668,0.066,1.0,0.001,0.002,3421,2.6180312633514404,1.9590263366699219
1550,CO(GT)(t+10),0.221,13.857,1.898,0.034,1.0,-0.0,0.001,3416,2.6180312633514404,1.9590263366699219
1550,CO(GT)(t+15),0.23,14.956,2.049,0.036,1.0,-0.0,0.001,3459,2.6180312633514404,1.9590263366699219
1550,CO(GT)(t+20),0.533,35.883,1.984,0.078,1.0,0.001,0.003,3412,2.6180312633514404,1.9590263366699219
1550,CO(GT)(t+25),0.245,16.883,1.901,0.034,1.0,-0.0,0.001,3408,2.6180312633514404,1.9590263366699219
1550,CO(GT)(t+30),0.034,0.202,0.096,0.005,1.0,0.0,0.0,3416,2.6180312633514404,1.9590263366699219
1860,CO(GT)(t+5),2.14,60.247,6.747,0.447,0.992,-0.26,0.01,3028,2.658942461013794,1.9590263366699219
1860,CO(GT)(t+10),0.421,21.635,5.663,0.151,1.0,0.134,0.002,3082,2.658942461013794,1.9590263366699219
1860,CO(GT)(t+15),0.318,14.572,3.564,0.091,1.0,0.058,0.002,2998,2.658942461013794,1.9590263366699219
1860,CO(GT)(t+20),0.294,10.517,2.178,0.065,1.0,0.029,0.001,3014,2.658942461013794,1.9590263366699219
1860,CO(GT)(t+25),0.308,11.509,2.383,0.071,1.0,0.026,0.001,2966,2.658942461013794,1.9590263366699219
1860,CO(GT)(t+30),0.324,12.673,2.614,0.078,1.0,0.025,0.002,2962,2.658942461013794,1.9590263366699219
2170,CO(GT)(t+5),0.007,0.059,0.029,0.001,1.0,0.001,0.0,3374,2.7757885456085205,1.9590263366699219
2170,CO(GT)(t+10),0.007,0.063,0.031,0.001,1.0,0.001,0.0,3380,2.7757885456085205,1.9590263366699219
2170,CO(GT)(t+15),0.008,0.068,0.034,0.001,1.0,0.001,0.0,3368,2.7757885456085205,1.9590263366699219
