window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,CO(GT)(t+5),0.507,5.713,2.231,0.112,1.0,0.004,0.002,3398,2.2334532737731934,1.9590263366699219
0,CO(GT)(t+10),2.856,21.166,3.899,0.433,0.995,-0.045,0.014,3407,2.2334532737731934,1.9590263366699219
0,CO(GT)(t+15),25.45,181.701,4.573,3.493,0.65,-0.373,0.124,3391,2.2334532737731934,1.9590263366699219
0,CO(GT)(t+20),4.377,40.005,4.35,0.686,0.986,-0.097,0.021,3382,2.2334532737731934,1.9590263366699219
0,CO(GT)(t+25),0.586,6.415,4.743,0.138,1.0,-0.023,0.003,3393,2.2334532737731934,1.9590263366699219
0,CO(GT)(t+30),9.638,208.341,4.956,1.979,0.943,-0.272,0.047,3388,2.2334532737731934,1.9590263366699219
310,CO(GT)(t+5),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1068,2.249462366104126,1.9590263366699219
310,CO(GT)(t+10),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1067,2.249462366104126,1.9590263366699219
310,CO(GT)(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1042,2.249462366104126,1.9590263366699219
310,CO(GT)(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1066,2.249462366104126,1.9590263366699219
310,CO(GT)(t+25),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,994,2.249462366104126,1.9590263366699219
310,CO(GT)(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1043,2.249462366104126,1.9590263366699219
620,CO(GT)(t+5),0.043,0.069,0.036,0.005,1.0,-0.0,0.0,1311,2.2175989151000977,1.9590263366699219
620,CO(GT)(t+10),0.045,0.075,0.038,0.005,1.0,-0.0,0.0,1390,2.2175989151000977,1.9590263366699219
620,CO(GT)(t+15),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1431,2.2175989151000977,1.9590263366699219
620,CO(GT)(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1387,2.2175989151000977,1.9590263366699219
620,CO(GT)(t+25),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1389,2.2175989151000977,1.9590263366699219
620,CO(GT)(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1430,2.2175989151000977,1.9590263366699219
930,CO(GT)(t+5),0.172,1.582,0.691,0.045,1.0,-0.004,0.001,2940,2.2372360229492188,1.9590263366699219
930,CO(GT)(t+10),5.201,15.18,2.753,0.705,0.984,-0.107,0.025,2945,2.2372360229492188,1.9590263366699219
930,CO(GT)(t+15),0.177,1.759,0.76,0.049,1.0,-0.003,0.001,2972,2.2372360229492188,1.9590263366699219
930,CO(GT)(t+20),0.193,1.991,0.87,0.057,1.0,-0.004,0.001,2976,2.2372360229492188,1.9590263366699219
930,CO(GT)(t+25),0.184,1.203,0.608,0.053,1.0,-0.009,0.001,2986,2.2372360229492188,1.9590263366699219
930,CO(GT)(t+30),0.198,1.477,0.672,0.049,1.0,0.009,0.001,3064,2.2372360229492188,1.9590263366699219
1240,CO(GT)(t+5),5.096,20.599,3.181,0.681,0.984,-0.111,0.025,2820,2.3406169414520264,1.9590263366699219
1240,CO(GT)(t+10),0.614,3.239,1.947,0.101,1.0,-0.011,0.003,2869,2.3406169414520264,1.9590263366699219
1240,CO(GT)(t+15),1.162,4.962,1.909,0.165,0.999,-0.022,0.006,2911,2.3406169414520264,1.9590263366699219
1240,CO(GT)(t+20),2.074,11.591,4.423,0.384,0.998,-0.037,0.01,2976,2.3406169414520264,1.9590263366699219
1240,CO(GT)(t+25),5.518,3.004,1.349,0.815,0.986,0.093,0.027,2986,2.3406169414520264,1.9590263366699219
1240,CO(GT)(t+30),3.339,23.999,8.43,0.823,0.993,-0.121,0.016,3054,2.3406169414520264,1.9590263366699219
1550,CO(GT)(t+5),0.073,3.826,0.916,0.012,1.0,0.0,0.0,3433,2.449995279312134,1.9590263366699219
1550,CO(GT)(t+10),0.035,1.777,1.522,0.006,1.0,-0.0,0.0,3402,2.449995279312134,1.9590263366699219
1550,CO(GT)(t+15),0.036,1.918,1.643,0.006,1.0,-0.0,0.0,3456,2.449995279312134,1.9590263366699219
1550,CO(GT)(t+20),0.068,4.475,0.993,0.01,1.0,0.0,0.0,3407,2.449995279312134,1.9590263366699219
1550,CO(GT)(t+25),0.033,2.197,1.913,0.006,1.0,-0.0,0.0,3405,2.449995279312134,1.9590263366699219
1550,CO(GT)(t+30),0.025,0.151,0.073,0.004,1.0,0.0,0.0,3419,2.449995279312134,1.9590263366699219
1860,CO(GT)(t+5),0.693,3.539,1.692,0.099,0.999,-0.09,0.003,3008,2.4349913597106934,1.9590263366699219
1860,CO(GT)(t+10),0.08,0.896,0.445,0.025,1.0,-0.008,0.0,3040,2.4349913597106934,1.9590263366699219
1860,CO(GT)(t+15),0.119,4.56,1.323,0.038,1.0,0.002,0.001,2990,2.4349913597106934,1.9590263366699219
1860,CO(GT)(t+20),0.182,8.051,1.677,0.05,1.0,0.009,0.001,3026,2.4349913597106934,1.9590263366699219
1860,CO(GT)(t+25),31.491,264.721,7.413,6.718,-0.307,-1.265,0.153,2982,2.4349913597106934,1.9590263366699219
1860,CO(GT)(t+30),1.276,11.855,3.494,0.219,0.998,-0.096,0.006,2970,2.4349913597106934,1.9590263366699219
2170,CO(GT)(t+5),0.001,0.003,0.001,0.0,1.0,0.0,0.0,3348,2.459455966949463,1.9590263366699219
2170,CO(GT)(t+10),0.001,0.003,0.002,0.0,1.0,0.0,0.0,3336,2.459455966949463,1.9590263366699219
2170,CO(GT)(t+15),0.001,0.003,0.002,0.0,1.0,0.0,0.0,3352,2.459455966949463,1.9590263366699219
2170,CO(GT)(t+20),0.001,0.004,0.002,0.0,1.0,0.0,0.0,3328,2.459455966949463,1.9590263366699219
2170,CO(GT)(t+25),0.001,0.004,0.002,0.0,1.0,0.0,0.0,3328,2.459455966949463,1.9590263366699219
2170,CO(GT)(t+30),0.001,0.004,0.002,0.0,1.0,0.0,0.0,3344,2.459455966949463,1.9590263366699219
2480,CO(GT)(t+5),0.272,8.684,3.077,0.084,1.0,0.059,0.001,3393,2.398674249649048,1.9590263366699219
2480,CO(GT)(t+10),0.179,6.54,2.501,0.061,1.0,0.041,0.001,3395,2.398674249649048,1.9590263366699219
2480,CO(GT)(t+15),0.255,7.432,2.618,0.073,0.854,-0.051,0.098,3405,2.398674249649048,1.9590263366699219
2480,CO(GT)(t+20),0.279,8.578,2.985,0.084,0.804,-0.061,0.107,3387,2.398674249649048,1.9590263366699219
2480,CO(GT)(t+25),0.288,7.73,2.622,0.084,0.787,-0.063,0.111,3393,2.398674249649048,1.9590263366699219
2480,CO(GT)(t+30),0.301,9.711,3.304,0.09,0.674,-0.074,0.143,3397,2.398674249649048,1.9590263366699219
2790,CO(GT)(t+5),0.235,3.06,1.381,0.068,1.0,0.043,0.001,3402,2.32068133354187,1.9590263366699219
2790,CO(GT)(t+10),0.232,2.822,1.284,0.065,1.0,0.029,0.001,3396,2.32068133354187,1.9590263366699219
2790,CO(GT)(t+15),0.241,3.046,1.386,0.071,0.944,-0.015,0.055,3406,2.32068133354187,1.9590263366699219
2790,CO(GT)(t+20),0.252,3.309,1.505,0.077,0.94,-0.016,0.057,3396,2.32068133354187,1.9590263366699219
2790,CO(GT)(t+25),0.263,3.621,1.647,0.084,0.94,-0.017,0.06,3404,2.32068133354187,1.9590263366699219
2790,CO(GT)(t+30),0.277,3.998,1.819,0.093,0.918,-0.021,0.069,3402,2.32068133354187,1.9590263366699219
3100,CO(GT)(t+5),0.008,0.001,0.0,0.001,0.0,0.0,0.0,2694,2.3862013816833496,1.9590263366699219
3100,CO(GT)(t+10),0.007,0.0,0.0,0.001,0.0,0.0,0.0,2770,2.3862013816833496,1.9590263366699219
3100,CO(GT)(t+15),0.007,0.0,0.0,0.001,0.0,0.0,0.0,2784,2.3862013816833496,1.9590263366699219
3100,CO(GT)(t+20),0.008,0.001,0.0,0.001,0.0,0.0,0.0,2836,2.3862013816833496,1.9590263366699219
3100,CO(GT)(t+25),0.008,0.001,0.0,0.001,0.0,0.0,0.0,2874,2.3862013816833496,1.9590263366699219
3100,CO(GT)(t+30),0.008,0.001,0.0,0.001,0.0,0.0,0.0,2874,2.3862013816833496,1.9590263366699219
3410,CO(GT)(t+5),0.291,2.411,1.96,0.054,1.0,-0.039,0.001,1122,2.268941879272461,1.9590263366699219
3410,CO(GT)(t+10),0.306,2.621,2.163,0.059,1.0,-0.036,0.002,1210,2.268941879272461,1.9590263366699219
3410,CO(GT)(t+15),0.261,2.433,1.73,0.055,1.0,-0.03,0.001,1228,2.268941879272461,1.9590263366699219
3410,CO(GT)(t+20),6.539,59.834,5.172,1.474,0.938,-0.527,0.032,1250,2.268941879272461,1.9590263366699219
3410,CO(GT)(t+25),1.965,12.269,1.887,0.27,0.995,-0.103,0.01,1322,2.268941879272461,1.9590263366699219
3410,CO(GT)(t+30),0.254,1.669,1.393,0.037,1.0,-0.013,0.001,1332,2.268941879272461,1.9590263366699219
3720,CO(GT)(t+5),0.092,0.807,0.443,0.016,1.0,-0.0,0.0,3020,2.3193273544311523,1.9590263366699219
3720,CO(GT)(t+10),0.093,0.483,0.263,0.014,1.0,-0.0,0.0,3050,2.3193273544311523,1.9590263366699219
3720,CO(GT)(t+15),0.097,0.521,0.284,0.015,1.0,-0.001,0.0,3102,2.3193273544311523,1.9590263366699219
3720,CO(GT)(t+20),0.101,0.566,0.308,0.017,1.0,-0.001,0.0,3134,2.3193273544311523,1.9590263366699219
3720,CO(GT)(t+25),0.105,0.62,0.337,0.018,0.964,0.013,0.034,3150,2.3193273544311523,1.9590263366699219
3720,CO(GT)(t+30),0.111,0.684,0.372,0.02,0.963,0.014,0.036,3168,2.3193273544311523,1.9590263366699219
4030,CO(GT)(t+5),0.009,0.019,0.01,0.001,1.0,-0.001,0.0,1058,2.2467663288116455,1.9590263366699219
4030,CO(GT)(t+10),0.01,0.02,0.01,0.001,1.0,-0.001,0.0,1212,2.2467663288116455,1.9590263366699219
4030,CO(GT)(t+15),0.01,0.022,0.011,0.001,1.0,-0.001,0.0,1288,2.2467663288116455,1.9590263366699219
4030,CO(GT)(t+20),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1343,2.2467663288116455,1.9590263366699219
4030,CO(GT)(t+25),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1306,2.2467663288116455,1.9590263366699219
4030,CO(GT)(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1275,2.2467663288116455,1.9590263366699219
4340,CO(GT)(t+5),0.124,3.239,1.0,0.021,1.0,0.005,0.001,1374,2.2943427562713623,1.9590263366699219
4340,CO(GT)(t+10),0.186,5.218,1.216,0.029,1.0,0.007,0.001,1429,2.2943427562713623,1.9590263366699219
4340,CO(GT)(t+15),0.099,3.249,1.366,0.02,1.0,0.002,0.0,1485,2.2943427562713623,1.9590263366699219
4340,CO(GT)(t+20),0.597,20.743,2.914,0.126,1.0,0.024,0.003,1552,2.2943427562713623,1.9590263366699219
4340,CO(GT)(t+25),0.666,10.597,5.298,0.156,0.999,-0.047,0.003,1575,2.2943427562713623,1.9590263366699219
4340,CO(GT)(t+30),0.11,3.519,2.595,0.029,1.0,-0.006,0.001,1620,2.2943427562713623,1.9590263366699219
4650,CO(GT)(t+5),43.204,8.099,5.922,12.508,0.813,0.113,0.209,3423,2.374041795730591,1.9590263366699219
4650,CO(GT)(t+10),0.055,0.529,0.226,0.018,1.0,0.0,0.0,3382,2.374041795730591,1.9590263366699219
4650,CO(GT)(t+15),0.035,0.564,0.241,0.005,1.0,0.0,0.0,3425,2.374041795730591,1.9590263366699219
4650,CO(GT)(t+20),0.1,1.645,1.56,0.013,1.0,-0.0,0.0,3395,2.374041795730591,1.9590263366699219
4650,CO(GT)(t+25),0.001,0.011,0.006,0.0,1.0,-0.0,0.0,3370,2.374041795730591,1.9590263366699219
