window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Global_active_power(t+5),0.189,24.613,9.36,0.129,0.979,-0.038,0.024,2577,57.2666289806366,3.9495697021484375
0,Global_active_power(t+10),0.203,25.995,9.702,0.139,0.976,-0.044,0.026,2599,57.2666289806366,3.9495697021484375
0,Global_active_power(t+15),0.212,27.442,10.201,0.149,0.974,-0.056,0.027,2606,57.2666289806366,3.9495697021484375
0,Global_active_power(t+20),0.198,26.39,9.867,0.145,0.977,-0.048,0.026,2613,57.2666289806366,3.9495697021484375
0,Global_active_power(t+25),0.186,27.286,10.226,0.142,0.98,-0.06,0.024,2487,57.2666289806366,3.9495697021484375
0,Global_active_power(t+30),0.212,30.161,11.141,0.163,0.973,-0.068,0.027,2543,57.2666289806366,3.9495697021484375
6829,Global_active_power(t+5),0.173,17.406,7.216,0.112,0.981,-0.027,0.022,2092,55.26996970176697,4.445835113525391
6829,Global_active_power(t+10),0.227,17.712,7.388,0.125,0.968,-0.002,0.029,2135,55.26996970176697,4.445835113525391
6829,Global_active_power(t+15),0.208,18.284,7.56,0.126,0.973,-0.021,0.027,2118,55.26996970176697,4.445835113525391
6829,Global_active_power(t+20),0.206,21.734,8.594,0.133,0.973,-0.027,0.026,2061,55.26996970176697,4.445835113525391
6829,Global_active_power(t+25),0.222,21.509,8.534,0.134,0.969,-0.037,0.029,2030,55.26996970176697,4.445835113525391
6829,Global_active_power(t+30),0.229,27.553,10.41,0.155,0.967,-0.051,0.029,1971,55.26996970176697,4.445835113525391
13658,Global_active_power(t+5),0.175,39.329,13.349,0.129,0.97,-0.091,0.028,2762,54.37005090713501,4.445835113525391
13658,Global_active_power(t+10),0.187,33.8,11.8,0.119,0.966,-0.057,0.03,2739,54.37005090713501,4.445835113525391
13658,Global_active_power(t+15),0.177,36.543,12.324,0.12,0.97,-0.072,0.029,2733,54.37005090713501,4.445835113525391
13658,Global_active_power(t+20),0.216,33.379,11.683,0.123,0.955,-0.045,0.035,2722,54.37005090713501,4.445835113525391
13658,Global_active_power(t+25),0.18,36.472,12.439,0.121,0.969,-0.071,0.029,2657,54.37005090713501,4.445835113525391
13658,Global_active_power(t+30),0.188,40.326,13.682,0.137,0.965,-0.07,0.03,2662,54.37005090713501,4.445835113525391
20487,Global_active_power(t+5),0.222,63.201,19.774,0.153,0.935,-0.146,0.036,2767,53.543431758880615,4.445835113525391
20487,Global_active_power(t+10),0.206,65.97,19.949,0.152,0.944,-0.162,0.034,2822,53.543431758880615,4.445835113525391
20487,Global_active_power(t+15),0.154,49.952,16.307,0.107,0.969,-0.107,0.025,2729,53.543431758880615,4.445835113525391
20487,Global_active_power(t+20),0.175,55.583,17.617,0.124,0.96,-0.124,0.029,2572,53.543431758880615,4.445835113525391
20487,Global_active_power(t+25),0.181,56.612,17.861,0.122,0.957,-0.13,0.03,2528,53.543431758880615,4.445835113525391
20487,Global_active_power(t+30),0.163,52.151,17.262,0.12,0.965,-0.103,0.027,2498,53.543431758880615,4.445835113525391
27316,Global_active_power(t+5),0.138,5.104,2.435,0.294,0.68,-0.293,0.019,2204,52.433186531066895,4.445835113525391
27316,Global_active_power(t+10),0.09,3.1,1.529,0.267,0.714,-0.263,0.012,2129,52.433186531066895,4.445835113525391
27316,Global_active_power(t+15),0.105,4.232,2.137,0.272,0.711,-0.262,0.014,1958,52.433186531066895,4.445835113525391
27316,Global_active_power(t+20),0.1,3.739,1.948,0.274,0.71,-0.258,0.014,1815,52.433186531066895,4.445835113525391
27316,Global_active_power(t+25),0.103,5.017,2.542,0.27,0.724,-0.244,0.014,1751,52.433186531066895,4.445835113525391
27316,Global_active_power(t+30),0.13,4.736,2.201,0.295,0.67,-0.308,0.018,1704,52.433186531066895,4.445835113525391
34145,Global_active_power(t+5),0.251,27.784,10.281,0.125,0.95,-0.014,0.035,2202,53.17032790184021,4.445835113525391
34145,Global_active_power(t+10),0.229,22.285,8.829,0.106,0.958,-0.001,0.032,2085,53.17032790184021,4.445835113525391
34145,Global_active_power(t+15),0.213,22.847,8.991,0.11,0.964,0.009,0.03,2005,53.17032790184021,4.445835113525391
34145,Global_active_power(t+20),0.202,21.383,8.434,0.091,0.967,0.014,0.028,1982,53.17032790184021,4.445835113525391
34145,Global_active_power(t+25),0.292,23.935,9.615,0.125,0.932,0.008,0.041,1863,53.17032790184021,4.445835113525391
34145,Global_active_power(t+30),0.2,24.953,9.549,0.112,0.968,-0.031,0.028,1821,53.17032790184021,4.445835113525391
40974,Global_active_power(t+5),0.096,3.81,1.883,0.044,0.994,0.016,0.012,2300,52.70764350891113,4.445835113525391
40974,Global_active_power(t+10),0.134,3.381,1.644,0.051,0.988,0.006,0.017,2337,52.70764350891113,4.445835113525391
40974,Global_active_power(t+15),0.127,3.462,1.651,0.05,0.989,-0.013,0.016,2238,52.70764350891113,4.445835113525391
40974,Global_active_power(t+20),0.135,3.487,1.704,0.049,0.987,-0.002,0.017,2089,52.70764350891113,4.445835113525391
40974,Global_active_power(t+25),0.093,3.631,1.756,0.044,0.994,-0.005,0.012,2048,52.70764350891113,4.445835113525391
40974,Global_active_power(t+30),0.076,2.872,1.392,0.032,0.996,0.001,0.01,1971,52.70764350891113,4.445835113525391
47803,Global_active_power(t+5),0.229,14.637,6.219,0.143,0.954,0.006,0.024,2857,52.91916227340698,4.445835113525391
47803,Global_active_power(t+10),0.24,15.317,6.492,0.151,0.952,-0.015,0.026,2915,52.91916227340698,4.445835113525391
47803,Global_active_power(t+15),0.214,17.195,7.163,0.156,0.958,-0.034,0.023,2858,52.91916227340698,4.445835113525391
47803,Global_active_power(t+20),0.26,18.202,7.684,0.175,0.946,-0.024,0.028,2844,52.91916227340698,4.445835113525391
47803,Global_active_power(t+25),0.258,19.373,8.096,0.185,0.947,-0.029,0.028,2633,52.91916227340698,4.445835113525391
47803,Global_active_power(t+30),0.262,21.12,8.687,0.195,0.946,-0.036,0.028,2579,52.91916227340698,4.445835113525391
54632,Global_active_power(t+5),0.23,30.667,11.531,0.162,0.959,-0.056,0.036,2047,53.442582845687866,4.445835113525391
54632,Global_active_power(t+10),0.2,30.433,11.368,0.155,0.969,-0.065,0.031,2071,53.442582845687866,4.445835113525391
54632,Global_active_power(t+15),0.226,33.132,12.199,0.171,0.961,-0.081,0.035,2000,53.442582845687866,4.445835113525391
54632,Global_active_power(t+20),0.23,34.323,12.578,0.179,0.96,-0.062,0.036,1935,53.442582845687866,4.445835113525391
54632,Global_active_power(t+25),0.216,35.397,12.537,0.173,0.964,-0.074,0.033,1959,53.442582845687866,4.445835113525391
54632,Global_active_power(t+30),0.247,39.867,13.843,0.192,0.953,-0.096,0.038,1919,53.442582845687866,4.445835113525391
61461,Global_active_power(t+5),0.2,6.457,3.156,0.138,0.916,-0.027,0.035,2334,52.10513472557068,4.445835113525391
61461,Global_active_power(t+10),0.16,6.294,2.86,0.13,0.921,-0.073,0.028,2372,52.10513472557068,4.445835113525391
61461,Global_active_power(t+15),0.129,5.163,2.443,0.116,0.93,-0.056,0.022,2319,52.10513472557068,4.445835113525391
61461,Global_active_power(t+20),0.123,5.566,2.566,0.112,0.935,-0.043,0.021,2240,52.10513472557068,4.445835113525391
61461,Global_active_power(t+25),0.131,7.819,3.475,0.125,0.932,-0.05,0.023,2167,52.10513472557068,4.445835113525391
61461,Global_active_power(t+30),0.118,5.102,2.429,0.112,0.934,-0.054,0.02,2146,52.10513472557068,4.445835113525391
68290,Global_active_power(t+5),0.2,35.699,12.583,0.136,0.958,-0.072,0.023,2537,52.42440676689148,4.445835113525391
68290,Global_active_power(t+10),0.2,35.348,12.599,0.137,0.958,-0.068,0.023,2607,52.42440676689148,4.445835113525391
68290,Global_active_power(t+15),0.186,33.082,11.867,0.12,0.964,-0.048,0.021,2465,52.42440676689148,4.445835113525391
68290,Global_active_power(t+20),0.152,35.285,12.264,0.113,0.976,-0.071,0.017,2456,52.42440676689148,4.445835113525391
68290,Global_active_power(t+25),0.18,34.282,11.964,0.115,0.966,-0.082,0.021,2458,52.42440676689148,4.445835113525391
68290,Global_active_power(t+30),0.154,35.929,12.42,0.117,0.975,-0.071,0.018,2381,52.42440676689148,4.445835113525391
75119,Global_active_power(t+5),0.195,54.24,17.731,0.158,0.943,-0.142,0.028,3650,53.12357473373413,4.445835113525391
75119,Global_active_power(t+10),0.186,49.482,16.446,0.143,0.948,-0.104,0.027,3722,53.12357473373413,4.445835113525391
