window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Global_active_power(t+5),0.198,24.185,9.311,0.131,0.977,-0.036,0.026,2459,35.93525791168213,1.8027381896972656
0,Global_active_power(t+10),0.224,27.24,10.313,0.157,0.97,-0.051,0.029,2495,35.93525791168213,1.8027381896972656
0,Global_active_power(t+15),0.208,27.957,10.49,0.151,0.974,-0.048,0.027,2499,35.93525791168213,1.8027381896972656
0,Global_active_power(t+20),0.199,27.33,10.17,0.147,0.977,-0.053,0.026,2496,35.93525791168213,1.8027381896972656
0,Global_active_power(t+25),0.202,28.562,10.495,0.148,0.976,-0.055,0.026,2385,35.93525791168213,1.8027381896972656
0,Global_active_power(t+30),0.224,32.896,11.893,0.178,0.97,-0.061,0.029,2407,35.93525791168213,1.8027381896972656
6829,Global_active_power(t+5),0.219,19.038,7.887,0.136,0.97,-0.028,0.028,1956,38.65884709358215,1.8027381896972656
6829,Global_active_power(t+10),0.262,16.59,7.046,0.127,0.957,-0.005,0.034,1972,38.65884709358215,1.8027381896972656
6829,Global_active_power(t+15),0.236,16.783,7.125,0.128,0.965,-0.013,0.03,1948,38.65884709358215,1.8027381896972656
6829,Global_active_power(t+20),0.21,17.833,7.376,0.121,0.972,-0.021,0.027,1898,38.65884709358215,1.8027381896972656
6829,Global_active_power(t+25),0.213,17.998,7.488,0.127,0.971,-0.033,0.027,1855,38.65884709358215,1.8027381896972656
6829,Global_active_power(t+30),0.201,19.276,7.955,0.131,0.975,-0.039,0.026,1812,38.65884709358215,1.8027381896972656
13658,Global_active_power(t+5),0.174,39.387,13.413,0.13,0.971,-0.09,0.028,2589,35.791080713272095,1.8027381896972656
13658,Global_active_power(t+10),0.191,34.691,12.052,0.123,0.965,-0.065,0.031,2564,35.791080713272095,1.8027381896972656
13658,Global_active_power(t+15),0.178,37.822,12.625,0.122,0.97,-0.073,0.029,2558,35.791080713272095,1.8027381896972656
13658,Global_active_power(t+20),0.202,33.347,11.891,0.122,0.961,-0.049,0.033,2546,35.791080713272095,1.8027381896972656
13658,Global_active_power(t+25),0.204,36.659,12.69,0.13,0.96,-0.075,0.033,2476,35.791080713272095,1.8027381896972656
13658,Global_active_power(t+30),0.203,39.303,13.395,0.142,0.96,-0.071,0.033,2494,35.791080713272095,1.8027381896972656
20487,Global_active_power(t+5),0.245,68.547,21.233,0.179,0.921,-0.167,0.04,2618,34.628493309020996,1.8027381896972656
20487,Global_active_power(t+10),0.214,68.89,20.907,0.164,0.94,-0.167,0.035,2660,34.628493309020996,1.8027381896972656
20487,Global_active_power(t+15),0.168,54.841,17.522,0.12,0.963,-0.117,0.028,2584,34.628493309020996,1.8027381896972656
20487,Global_active_power(t+20),0.252,56.936,18.952,0.159,0.917,-0.133,0.041,2443,34.628493309020996,1.8027381896972656
20487,Global_active_power(t+25),0.17,53.434,17.378,0.121,0.962,-0.116,0.028,2367,34.628493309020996,1.8027381896972656
20487,Global_active_power(t+30),0.192,60.794,19.559,0.146,0.952,-0.111,0.031,2326,34.628493309020996,1.8027381896972656
27316,Global_active_power(t+5),0.205,6.926,3.243,0.057,0.939,0.036,0.028,2092,34.55789375305176,1.8027381896972656
27316,Global_active_power(t+10),0.151,6.797,3.002,0.049,0.967,0.012,0.02,1993,34.55789375305176,1.8027381896972656
27316,Global_active_power(t+15),0.13,6.077,2.659,0.037,0.975,0.0,0.018,1851,34.55789375305176,1.8027381896972656
27316,Global_active_power(t+20),0.151,5.857,2.568,0.037,0.967,0.01,0.02,1745,34.55789375305176,1.8027381896972656
27316,Global_active_power(t+25),0.176,7.61,3.331,0.058,0.955,-0.008,0.024,1594,34.55789375305176,1.8027381896972656
27316,Global_active_power(t+30),0.185,7.004,3.089,0.052,0.951,0.003,0.025,1597,34.55789375305176,1.8027381896972656
34145,Global_active_power(t+5),0.248,33.165,11.609,0.13,0.951,-0.017,0.035,2061,34.17563271522522,1.8027381896972656
34145,Global_active_power(t+10),0.256,30.413,10.947,0.122,0.948,-0.004,0.036,1947,34.17563271522522,1.8027381896972656
34145,Global_active_power(t+15),0.228,30.604,10.961,0.124,0.959,0.001,0.032,1920,34.17563271522522,1.8027381896972656
34145,Global_active_power(t+20),0.21,30.294,10.766,0.112,0.965,0.004,0.029,1850,34.17563271522522,1.8027381896972656
34145,Global_active_power(t+25),0.278,30.421,11.202,0.131,0.938,-0.004,0.039,1724,34.17563271522522,1.8027381896972656
34145,Global_active_power(t+30),0.211,33.51,11.754,0.123,0.965,-0.03,0.03,1679,34.17563271522522,1.8027381896972656
40974,Global_active_power(t+5),0.122,11.2,4.721,0.067,0.99,-0.002,0.016,2222,34.571717739105225,1.8027381896972656
40974,Global_active_power(t+10),0.134,7.223,3.361,0.061,0.988,0.005,0.017,2256,34.571717739105225,1.8027381896972656
40974,Global_active_power(t+15),0.195,9.923,4.576,0.088,0.974,0.003,0.025,2162,34.571717739105225,1.8027381896972656
40974,Global_active_power(t+20),0.139,8.552,3.933,0.07,0.987,-0.02,0.018,2056,34.571717739105225,1.8027381896972656
40974,Global_active_power(t+25),0.146,7.939,3.673,0.065,0.985,0.0,0.019,2004,34.571717739105225,1.8027381896972656
40974,Global_active_power(t+30),0.156,7.668,3.562,0.065,0.983,-0.004,0.02,1912,34.571717739105225,1.8027381896972656
47803,Global_active_power(t+5),0.23,15.03,6.217,0.142,0.954,0.001,0.025,2750,34.88771414756775,1.8027381896972656
47803,Global_active_power(t+10),0.263,15.449,6.615,0.156,0.945,-0.002,0.028,2784,34.88771414756775,1.8027381896972656
47803,Global_active_power(t+15),0.219,16.032,6.772,0.149,0.957,-0.022,0.023,2778,34.88771414756775,1.8027381896972656
47803,Global_active_power(t+20),0.28,18.493,7.923,0.188,0.94,-0.013,0.03,2715,34.88771414756775,1.8027381896972656
47803,Global_active_power(t+25),0.271,19.885,8.369,0.198,0.943,-0.033,0.029,2575,34.88771414756775,1.8027381896972656
47803,Global_active_power(t+30),0.281,21.228,8.82,0.203,0.94,-0.028,0.03,2488,34.88771414756775,1.8027381896972656
54632,Global_active_power(t+5),0.233,29.447,11.279,0.163,0.958,-0.049,0.036,1884,34.8846595287323,1.8027381896972656
54632,Global_active_power(t+10),0.173,29.037,10.996,0.143,0.977,-0.063,0.027,1926,34.8846595287323,1.8027381896972656
54632,Global_active_power(t+15),0.237,31.977,11.974,0.173,0.957,-0.063,0.037,1863,34.8846595287323,1.8027381896972656
54632,Global_active_power(t+20),0.255,35.425,12.76,0.191,0.95,-0.065,0.039,1786,34.8846595287323,1.8027381896972656
54632,Global_active_power(t+25),0.229,36.862,12.763,0.183,0.96,-0.07,0.035,1824,34.8846595287323,1.8027381896972656
54632,Global_active_power(t+30),0.259,40.112,13.852,0.203,0.949,-0.094,0.04,1804,34.8846595287323,1.8027381896972656
61461,Global_active_power(t+5),0.221,11.509,5.173,0.123,0.936,-0.012,0.038,2224,35.133522510528564,1.8027381896972656
61461,Global_active_power(t+10),0.132,10.943,4.602,0.094,0.961,-0.033,0.023,2255,35.133522510528564,1.8027381896972656
61461,Global_active_power(t+15),0.129,10.9,4.658,0.096,0.962,-0.019,0.022,2193,35.133522510528564,1.8027381896972656
61461,Global_active_power(t+20),0.167,13.831,5.56,0.108,0.952,-0.031,0.029,2135,35.133522510528564,1.8027381896972656
61461,Global_active_power(t+25),0.209,17.707,6.84,0.133,0.938,-0.035,0.036,2045,35.133522510528564,1.8027381896972656
61461,Global_active_power(t+30),0.142,8.377,3.716,0.087,0.958,-0.027,0.024,2038,35.133522510528564,1.8027381896972656
68290,Global_active_power(t+5),0.189,25.016,9.995,0.111,0.962,-0.053,0.022,2455,34.84269642829895,1.8027381896972656
68290,Global_active_power(t+10),0.19,29.39,11.293,0.125,0.962,-0.051,0.022,2515,34.84269642829895,1.8027381896972656
68290,Global_active_power(t+15),0.196,24.607,10.012,0.119,0.96,-0.044,0.022,2356,34.84269642829895,1.8027381896972656
68290,Global_active_power(t+20),0.163,26.137,10.065,0.105,0.972,-0.054,0.019,2326,34.84269642829895,1.8027381896972656
68290,Global_active_power(t+25),0.188,30.078,11.06,0.12,0.963,-0.072,0.021,2383,34.84269642829895,1.8027381896972656
68290,Global_active_power(t+30),0.168,23.651,9.336,0.108,0.97,-0.06,0.019,2321,34.84269642829895,1.8027381896972656
75119,Global_active_power(t+5),0.186,41.984,15.795,0.148,0.948,-0.128,0.027,3444,35.6050820350647,1.8027381896972656
75119,Global_active_power(t+10),0.191,37.183,14.22,0.136,0.945,-0.096,0.028,3487,35.6050820350647,1.8027381896972656
75119,Global_active_power(t+15),0.18,36.119,13.38,0.127,0.951,-0.081,0.026,3438,35.6050820350647,1.8027381896972656
75119,Global_active_power(t+20),0.183,35.843,13.594,0.118,0.95,-0.067,0.026,3365,35.6050820350647,1.8027381896972656
75119,Global_active_power(t+25),0.196,38.983,14.735,0.145,0.942,-0.101,0.028,3343,35.6050820350647,1.8027381896972656
75119,Global_active_power(t+30),0.275,44.801,16.389,0.169,0.887,-0.094,0.04,3224,35.6050820350647,1.8027381896972656
81948,Global_active_power(t+5),0.171,117.85,32.7,0.147,-0.489,-0.565,0.182,2831,35.02767324447632,1.8027381896972656
81948,Global_active_power(t+10),0.177,127.152,34.064,0.155,-0.591,-0.593,0.189,2808,35.02767324447632,1.8027381896972656
81948,Global_active_power(t+15),0.179,133.127,34.595,0.16,-0.637,-0.604,0.191,2754,35.02767324447632,1.8027381896972656
81948,Global_active_power(t+20),0.152,118.278,32.637,0.139,-0.176,-0.544,0.162,2663,35.02767324447632,1.8027381896972656
81948,Global_active_power(t+25),0.145,107.899,31.699,0.132,-0.063,-0.518,0.154,2608,35.02767324447632,1.8027381896972656
81948,Global_active_power(t+30),0.155,112.715,32.577,0.141,-0.209,-0.554,0.164,2502,35.02767324447632,1.8027381896972656
88777,Global_active_power(t+5),0.193,11.344,5.425,0.103,0.964,0.03,0.027,3530,35.36647176742554,1.8027381896972656
88777,Global_active_power(t+10),0.218,11.596,5.693,0.113,0.955,0.035,0.031,3599,35.36647176742554,1.8027381896972656
88777,Global_active_power(t+15),0.226,13.429,6.289,0.115,0.951,0.014,0.032,3456,35.36647176742554,1.8027381896972656
88777,Global_active_power(t+20),0.271,11.997,5.837,0.124,0.93,0.023,0.039,3320,35.36647176742554,1.8027381896972656
88777,Global_active_power(t+25),0.232,13.748,6.355,0.118,0.949,0.016,0.033,3240,35.36647176742554,1.8027381896972656
88777,Global_active_power(t+30),0.267,14.914,7.15,0.132,0.932,0.031,0.038,3195,35.36647176742554,1.8027381896972656
95606,Global_active_power(t+5),0.172,3.356,1.681,0.115,0.941,-0.029,0.023,2588,35.12806534767151,1.8027381896972656
95606,Global_active_power(t+10),0.178,2.201,1.107,0.098,0.94,-0.027,0.024,2605,35.12806534767151,1.8027381896972656
95606,Global_active_power(t+15),0.136,2.393,1.221,0.1,0.949,-0.016,0.018,2614,35.12806534767151,1.8027381896972656
95606,Global_active_power(t+20),0.243,5.502,3.316,0.143,0.928,0.026,0.032,2525,35.12806534767151,1.8027381896972656
95606,Global_active_power(t+25),0.148,2.219,1.157,0.097,0.948,-0.014,0.02,2481,35.12806534767151,1.8027381896972656
95606,Global_active_power(t+30),0.125,2.097,1.043,0.092,0.95,-0.031,0.017,2453,35.12806534767151,1.8027381896972656
102435,Global_active_power(t+5),0.236,19.47,8.018,0.121,0.955,-0.017,0.03,2199,35.262622594833374,1.8027381896972656
102435,Global_active_power(t+10),0.211,21.206,8.531,0.121,0.964,-0.032,0.027,2221,35.262622594833374,1.8027381896972656
102435,Global_active_power(t+15),0.186,20.932,8.468,0.115,0.972,-0.034,0.024,2233,35.262622594833374,1.8027381896972656
102435,Global_active_power(t+20),0.211,22.777,9.104,0.133,0.964,-0.014,0.027,2153,35.262622594833374,1.8027381896972656
102435,Global_active_power(t+25),0.234,23.643,9.492,0.139,0.955,-0.019,0.03,2096,35.262622594833374,1.8027381896972656
102435,Global_active_power(t+30),0.255,24.018,9.64,0.139,0.947,-0.011,0.033,2081,35.262622594833374,1.8027381896972656
109264,Global_active_power(t+5),0.216,14.08,6.229,0.122,0.963,-0.061,0.026,2392,35.12657570838928,1.8027381896972656
109264,Global_active_power(t+10),0.228,13.17,5.899,0.108,0.959,-0.026,0.027,2400,35.12657570838928,1.8027381896972656
109264,Global_active_power(t+15),0.202,10.588,4.821,0.088,0.968,-0.005,0.024,2430,35.12657570838928,1.8027381896972656
109264,Global_active_power(t+20),0.23,12.571,5.726,0.117,0.959,-0.021,0.027,2405,35.12657570838928,1.8027381896972656
109264,Global_active_power(t+25),0.215,13.087,5.879,0.114,0.964,-0.035,0.026,2377,35.12657570838928,1.8027381896972656
109264,Global_active_power(t+30),0.247,15.457,6.76,0.127,0.952,-0.042,0.029,2341,35.12657570838928,1.8027381896972656
116093,Global_active_power(t+5),0.212,19.452,8.358,0.132,0.961,-0.032,0.027,2650,35.27863907814026,1.8027381896972656
116093,Global_active_power(t+10),0.229,19.994,8.608,0.139,0.954,-0.035,0.03,2658,35.27863907814026,1.8027381896972656
116093,Global_active_power(t+15),0.205,17.122,7.569,0.12,0.963,-0.018,0.027,2585,35.27863907814026,1.8027381896972656
116093,Global_active_power(t+20),0.244,19.545,8.475,0.138,0.948,-0.008,0.032,2555,35.27863907814026,1.8027381896972656
116093,Global_active_power(t+25),0.26,20.241,8.834,0.143,0.942,-0.01,0.034,2535,35.27863907814026,1.8027381896972656
116093,Global_active_power(t+30),0.411,45.766,12.3,0.212,0.854,-0.103,0.053,2526,35.27863907814026,1.8027381896972656
122922,Global_active_power(t+5),0.207,35.686,12.835,0.138,0.934,-0.088,0.036,2393,35.713895320892334,1.8027381896972656
122922,Global_active_power(t+10),0.162,32.293,11.545,0.119,0.959,-0.083,0.028,2383,35.713895320892334,1.8027381896972656
122922,Global_active_power(t+15),0.165,37.435,13.266,0.128,0.958,-0.092,0.028,2402,35.713895320892334,1.8027381896972656
122922,Global_active_power(t+20),0.167,34.239,12.331,0.121,0.956,-0.067,0.029,2276,35.713895320892334,1.8027381896972656
122922,Global_active_power(t+25),0.26,40.986,14.488,0.166,0.893,-0.121,0.045,2326,35.713895320892334,1.8027381896972656
122922,Global_active_power(t+30),0.169,36.107,12.791,0.122,0.955,-0.084,0.029,2170,35.713895320892334,1.8027381896972656
129751,Global_active_power(t+5),0.17,32.31,12.666,0.099,0.884,-0.126,0.044,2774,35.01196837425232,1.8027381896972656
129751,Global_active_power(t+10),0.108,29.244,11.609,0.078,0.952,-0.085,0.028,2797,35.01196837425232,1.8027381896972656
129751,Global_active_power(t+15),0.146,43.621,15.69,0.112,0.914,-0.137,0.038,2662,35.01196837425232,1.8027381896972656
129751,Global_active_power(t+20),0.264,65.998,20.338,0.178,0.718,-0.255,0.069,2746,35.01196837425232,1.8027381896972656
129751,Global_active_power(t+25),0.141,39.664,14.494,0.104,0.92,-0.142,0.037,2606,35.01196837425232,1.8027381896972656
129751,Global_active_power(t+30),0.198,64.971,19.347,0.148,0.843,-0.225,0.051,2470,35.01196837425232,1.8027381896972656
136580,Global_active_power(t+5),0.27,30.131,11.805,0.147,0.907,-0.012,0.049,3066,35.677565813064575,1.8027381896972656
136580,Global_active_power(t+10),0.203,33.901,12.537,0.133,0.947,-0.009,0.036,3024,35.677565813064575,1.8027381896972656
136580,Global_active_power(t+15),0.221,31.331,12.047,0.139,0.938,-0.013,0.04,2865,35.677565813064575,1.8027381896972656
136580,Global_active_power(t+20),0.262,30.717,11.944,0.151,0.913,-0.009,0.047,2807,35.677565813064575,1.8027381896972656
136580,Global_active_power(t+25),0.221,30.447,11.618,0.13,0.938,-0.026,0.04,2692,35.677565813064575,1.8027381896972656
136580,Global_active_power(t+30),0.214,37.51,13.519,0.144,0.942,-0.036,0.038,2646,35.677565813064575,1.8027381896972656
143409,Global_active_power(t+5),0.224,22.334,9.466,0.138,0.956,-0.023,0.036,3442,35.31077218055725,1.8027381896972656
143409,Global_active_power(t+10),0.225,19.986,8.554,0.127,0.956,0.008,0.036,3368,35.31077218055725,1.8027381896972656
143409,Global_active_power(t+15),0.208,20.409,8.778,0.128,0.963,-0.001,0.033,3411,35.31077218055725,1.8027381896972656
143409,Global_active_power(t+20),0.269,23.109,9.927,0.149,0.937,0.007,0.043,3294,35.31077218055725,1.8027381896972656
143409,Global_active_power(t+25),0.261,28.189,11.471,0.16,0.941,-0.015,0.041,3223,35.31077218055725,1.8027381896972656
143409,Global_active_power(t+30),0.18,26.04,10.391,0.133,0.972,-0.055,0.028,3190,35.31077218055725,1.8027381896972656
150238,Global_active_power(t+5),0.266,23.506,9.66,0.168,0.946,-0.024,0.035,2718,35.271857500076294,1.8027381896972656
150238,Global_active_power(t+10),0.276,25.04,10.175,0.173,0.942,-0.024,0.037,2739,35.271857500076294,1.8027381896972656
150238,Global_active_power(t+15),0.271,27.75,10.615,0.17,0.944,-0.021,0.036,2697,35.271857500076294,1.8027381896972656
150238,Global_active_power(t+20),0.221,27.016,10.435,0.153,0.963,-0.044,0.029,2707,35.271857500076294,1.8027381896972656
150238,Global_active_power(t+25),0.254,35.257,11.921,0.172,0.951,-0.061,0.034,2626,35.271857500076294,1.8027381896972656
150238,Global_active_power(t+30),0.274,32.079,11.749,0.176,0.943,-0.048,0.036,2586,35.271857500076294,1.8027381896972656
157067,Global_active_power(t+5),0.247,17.221,6.816,0.127,0.954,-0.02,0.031,2873,35.30464839935303,1.8027381896972656
157067,Global_active_power(t+10),0.225,12.274,5.187,0.114,0.962,-0.014,0.028,2929,35.30464839935303,1.8027381896972656
157067,Global_active_power(t+15),0.298,15.446,6.615,0.166,0.933,-0.06,0.037,2987,35.30464839935303,1.8027381896972656
157067,Global_active_power(t+20),0.241,12.596,5.442,0.117,0.956,-0.016,0.03,2889,35.30464839935303,1.8027381896972656
157067,Global_active_power(t+25),0.169,11.61,5.046,0.097,0.978,-0.014,0.021,2802,35.30464839935303,1.8027381896972656
157067,Global_active_power(t+30),0.208,12.805,5.422,0.107,0.967,-0.003,0.026,2769,35.30464839935303,1.8027381896972656
163896,Global_active_power(t+5),0.138,15.692,6.485,0.093,0.977,-0.038,0.023,2612,35.30621552467346,1.8027381896972656
163896,Global_active_power(t+10),0.207,17.246,7.097,0.11,0.949,-0.03,0.035,2649,35.30621552467346,1.8027381896972656
163896,Global_active_power(t+15),0.192,20.649,7.796,0.118,0.957,-0.033,0.032,2685,35.30621552467346,1.8027381896972656
163896,Global_active_power(t+20),0.19,21.213,8.201,0.12,0.958,-0.034,0.032,2573,35.30621552467346,1.8027381896972656
163896,Global_active_power(t+25),0.189,18.121,7.366,0.109,0.958,-0.018,0.032,2543,35.30621552467346,1.8027381896972656
163896,Global_active_power(t+30),0.181,20.083,7.792,0.111,0.962,-0.043,0.03,2494,35.30621552467346,1.8027381896972656
170725,Global_active_power(t+5),0.18,21.233,8.793,0.126,0.963,-0.05,0.029,2446,35.42280721664429,1.8027381896972656
170725,Global_active_power(t+10),0.222,22.952,9.274,0.13,0.944,-0.039,0.036,2562,35.42280721664429,1.8027381896972656
