window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,use [kW](t+5),0.166,15.302,6.619,0.119,0.932,-0.025,0.038,5049,86.6605715751648,5.111015319824219
0,use [kW](t+10),0.176,14.688,6.476,0.115,0.93,-0.016,0.04,5078,86.6605715751648,5.111015319824219
0,use [kW](t+15),0.197,15.396,6.957,0.133,0.915,-0.004,0.045,5107,86.6605715751648,5.111015319824219
0,use [kW](t+20),0.159,13.633,6.247,0.111,0.942,0.0,0.036,5112,86.6605715751648,5.111015319824219
0,use [kW](t+25),0.2,14.44,6.886,0.124,0.916,0.011,0.045,5223,86.6605715751648,5.111015319824219
0,use [kW](t+30),0.155,13.8,6.1,0.11,0.944,-0.015,0.035,5214,86.6605715751648,5.111015319824219
8397,use [kW](t+5),0.163,12.189,5.677,0.109,0.936,-0.007,0.034,5787,75.45047163963318,5.63983154296875
8397,use [kW](t+10),0.157,12.032,5.534,0.102,0.941,-0.01,0.033,5821,75.45047163963318,5.63983154296875
8397,use [kW](t+15),0.148,12.983,5.915,0.105,0.948,-0.001,0.031,5820,75.45047163963318,5.63983154296875
8397,use [kW](t+20),0.175,12.657,5.617,0.106,0.927,-0.02,0.036,5835,75.45047163963318,5.63983154296875
8397,use [kW](t+25),0.159,12.255,5.591,0.1,0.94,-0.007,0.033,5927,75.45047163963318,5.63983154296875
8397,use [kW](t+30),0.162,12.169,5.625,0.108,0.938,-0.008,0.034,5877,75.45047163963318,5.63983154296875
16794,use [kW](t+5),0.147,22.496,8.768,0.098,0.896,-0.059,0.047,4467,74.0967013835907,5.63983154296875
16794,use [kW](t+10),0.129,21.507,8.459,0.087,0.92,-0.02,0.041,4524,74.0967013835907,5.63983154296875
16794,use [kW](t+15),0.142,18.955,8.082,0.09,0.903,-0.03,0.045,4550,74.0967013835907,5.63983154296875
16794,use [kW](t+20),0.224,27.371,9.002,0.108,0.76,-0.073,0.071,4622,74.0967013835907,5.63983154296875
16794,use [kW](t+25),0.154,21.038,8.436,0.098,0.886,-0.051,0.049,4674,74.0967013835907,5.63983154296875
16794,use [kW](t+30),0.14,22.551,8.532,0.09,0.906,-0.057,0.044,4582,74.0967013835907,5.63983154296875
25191,use [kW](t+5),0.193,13.545,6.178,0.124,0.93,0.023,0.032,5272,74.40233087539673,5.63983154296875
25191,use [kW](t+10),0.184,12.465,5.926,0.118,0.935,0.019,0.031,5389,74.40233087539673,5.63983154296875
25191,use [kW](t+15),0.203,16.329,6.926,0.128,0.92,0.016,0.034,5478,74.40233087539673,5.63983154296875
25191,use [kW](t+20),0.216,14.447,6.276,0.124,0.909,0.019,0.036,5457,74.40233087539673,5.63983154296875
25191,use [kW](t+25),0.174,11.081,5.265,0.1,0.941,0.017,0.029,5395,74.40233087539673,5.63983154296875
25191,use [kW](t+30),0.189,13.298,5.734,0.114,0.929,-0.014,0.032,5377,74.40233087539673,5.63983154296875
33588,use [kW](t+5),0.154,17.451,7.398,0.095,0.934,-0.038,0.028,4819,73.45835900306702,5.63983154296875
33588,use [kW](t+10),0.186,19.655,8.111,0.111,0.903,-0.05,0.034,4785,73.45835900306702,5.63983154296875
33588,use [kW](t+15),0.146,18.728,7.721,0.095,0.94,-0.048,0.027,4861,73.45835900306702,5.63983154296875
33588,use [kW](t+20),0.178,18.45,7.595,0.104,0.912,-0.048,0.032,4799,73.45835900306702,5.63983154296875
33588,use [kW](t+25),0.175,18.69,7.585,0.098,0.915,-0.031,0.032,4825,73.45835900306702,5.63983154296875
33588,use [kW](t+30),0.172,17.84,7.601,0.102,0.917,-0.03,0.031,4850,73.45835900306702,5.63983154296875
41985,use [kW](t+5),0.12,25.382,9.557,0.091,0.864,-0.066,0.042,4468,73.06713819503784,5.671283721923828
41985,use [kW](t+10),0.154,50.866,11.274,0.114,0.796,-0.129,0.054,4501,73.06713819503784,5.671283721923828
41985,use [kW](t+15),0.143,40.486,11.16,0.109,0.819,-0.119,0.05,4537,73.06713819503784,5.671283721923828
41985,use [kW](t+20),0.123,39.93,10.547,0.095,0.858,-0.094,0.043,4526,73.06713819503784,5.671283721923828
41985,use [kW](t+25),0.126,38.394,10.622,0.099,0.852,-0.1,0.044,4581,73.06713819503784,5.671283721923828
41985,use [kW](t+30),0.129,40.975,10.886,0.1,0.845,-0.107,0.045,4494,73.06713819503784,5.671283721923828
50382,use [kW](t+5),0.116,9.705,4.547,0.07,0.963,0.012,0.02,4354,72.79572057723999,5.671283721923828
50382,use [kW](t+10),0.105,9.556,4.457,0.065,0.969,0.008,0.018,4413,72.79572057723999,5.671283721923828
50382,use [kW](t+15),0.107,10.083,4.726,0.069,0.968,0.004,0.019,4384,72.79572057723999,5.671283721923828
50382,use [kW](t+20),0.118,9.212,4.484,0.07,0.96,0.015,0.021,4363,72.79572057723999,5.671283721923828
50382,use [kW](t+25),0.117,9.446,4.874,0.074,0.954,0.008,0.02,4437,72.79572057723999,5.671283721923828
50382,use [kW](t+30),0.118,9.611,4.894,0.077,0.953,0.012,0.021,4479,72.79572057723999,5.671283721923828
58779,use [kW](t+5),0.141,11.391,4.949,0.073,0.921,-0.029,0.024,2904,72.44518256187439,5.671283721923828
