window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,use [kW](t+5),0.152,13.147,5.826,0.097,0.952,-0.012,0.035,4811,58.222357749938965,2.003265380859375
0,use [kW](t+10),0.136,11.801,5.297,0.09,0.962,-0.014,0.031,4861,58.222357749938965,2.003265380859375
0,use [kW](t+15),0.16,13.604,5.875,0.105,0.943,-0.03,0.036,4904,58.222357749938965,2.003265380859375
0,use [kW](t+20),0.144,13.316,5.832,0.096,0.957,-0.003,0.033,4909,58.222357749938965,2.003265380859375
0,use [kW](t+25),0.188,15.419,7.046,0.119,0.926,-0.0,0.043,5001,58.222357749938965,2.003265380859375
0,use [kW](t+30),0.143,13.118,5.702,0.097,0.957,-0.009,0.032,5028,58.222357749938965,2.003265380859375
8397,use [kW](t+5),0.182,13.273,5.886,0.11,0.921,-0.008,0.038,5400,58.686721086502075,2.003265380859375
8397,use [kW](t+10),0.185,13.72,6.154,0.113,0.918,-0.016,0.039,5390,58.686721086502075,2.003265380859375
8397,use [kW](t+15),0.189,13.913,6.1,0.114,0.915,-0.023,0.039,5434,58.686721086502075,2.003265380859375
8397,use [kW](t+20),0.188,13.207,5.888,0.111,0.916,-0.012,0.039,5391,58.686721086502075,2.003265380859375
8397,use [kW](t+25),0.158,11.394,5.225,0.097,0.941,-0.003,0.033,5474,58.686721086502075,2.003265380859375
8397,use [kW](t+30),0.188,13.997,6.219,0.113,0.917,-0.007,0.039,5522,58.686721086502075,2.003265380859375
16794,use [kW](t+5),0.143,19.99,8.233,0.092,0.901,-0.07,0.045,4270,59.00362420082092,2.003265380859375
16794,use [kW](t+10),0.128,19.42,8.032,0.092,0.919,-0.044,0.041,4340,59.00362420082092,2.003265380859375
16794,use [kW](t+15),0.146,25.751,9.232,0.097,0.896,-0.063,0.046,4375,59.00362420082092,2.003265380859375
16794,use [kW](t+20),0.132,20.43,8.325,0.085,0.916,-0.042,0.042,4393,59.00362420082092,2.003265380859375
16794,use [kW](t+25),0.171,25.211,9.492,0.108,0.859,-0.074,0.054,4400,59.00362420082092,2.003265380859375
16794,use [kW](t+30),0.153,26.625,8.927,0.092,0.886,-0.047,0.048,4419,59.00362420082092,2.003265380859375
25191,use [kW](t+5),0.181,10.531,4.62,0.099,0.938,-0.008,0.03,4945,59.26873183250427,2.003265380859375
25191,use [kW](t+10),0.182,11.255,4.916,0.104,0.937,-0.0,0.03,4993,59.26873183250427,2.003265380859375
25191,use [kW](t+15),0.178,11.264,4.756,0.101,0.939,-0.028,0.03,5082,59.26873183250427,2.003265380859375
25191,use [kW](t+20),0.131,9.104,4.209,0.085,0.967,0.002,0.022,5095,59.26873183250427,2.003265380859375
